구분(1),구분(2),구분(3),구분(4),2023.03,2023.04,2023.05,2023.06,2023.07,2023.08
도시대기,서울,중구,중구,62,56,33,23,22,18
도시대기,서울,종로구,종로구,67,61,37,26,25,20
도시대기,서울,중랑구,중랑구,64,59,37,28,28,22
도시대기,서울,동대문구,동대문구,67,64,41,30,30,23
도시대기,서울,은평구,은평구,67,65,38,28,28*,20
도시대기,서울,마포구,마포구,59,56,37,27,26,22
도시대기,서울,영등포구,영등포구,63,58,37,27,26,22
도시대기,서울,동작구,동작구,66,59,37,27,26,22
도시대기,서울,관악구,관악구,71,66,43,32,30,26
도시대기,서울,강남구,강남구,65,60,38,29,27,23
도시대기,서울,금천구,금천구,59,55,36,30,29,22
도시대기,서울,강동구,강동구,69,61,38,28,25,21
도시대기,서울,강북구,강북구,69,64,39,29,31,23
도시대기,서울,성북구,성북구,72,68,41,30,22,18
도시대기,서울,용산구,용산구,71,68,42,30,28,24
도시대기,서울,광진구,광진구,65,60,38,28,27,22
도시대기,서울,성동구,성동구,67,60,38,28,26,21
도시대기,서울,도봉구,도봉구,67,63,36,26,22,16
도시대기,서울,서대문구,서대문구,68,61,35,26,22,17
도시대기,서울,구로구,구로구,79,73,39,26,21,17
도시대기,서울,서초구,서초구,73,67,42,30,27,21
도시대기,서울,강서구,강서구,79,73,44,30,27,23
도시대기,서울,송파구,송파구,73,69,42,31,29,24
도시대기,서울,양천구,양천구,71,63,38,29,28,22
도시대기,서울,노원구,노원구,69,64,37,27,27,21
도시대기,부산,중구,광복동,52,60,33,22,18,15
도시대기,부산,남구,대연동,58,65,33,25,21,20
도시대기,부산,남구,용호동,56,62,32,20,17,16
도시대기,부산,사상구,학장동,60,68,37,26,25,21
도시대기,부산,사상구,덕포동,56,59,33,26,21,18
도시대기,부산,북구,덕천동,58,63,33,25,21,18
도시대기,부산,북구,화명동,52,56,30,20,15,11
도시대기,부산,사하구,장림동,56,63,34,25,22,21
도시대기,부산,사하구,당리동,55,61,31,24,20,18
도시대기,부산,부산진구,전포동,63,68,37,25,20,18
도시대기,부산,부산진구,개금동,58,61,30,24,20,19
도시대기,부산,연제구,연산동,55,58,31,21,17,14
도시대기,부산,영도구,태종대,54,62,29,17,14,13
도시대기,부산,영도구,청학동,54,60,32,21,16,15
도시대기,부산,금정구,청룡동,51,56,28,20,17,14
도시대기,부산,금정구,부곡동,53,57,31,21,18,17
도시대기,부산,금정구,회동동,54,57,29,21,17,14
도시대기,부산,해운대구,좌동,59,64,35,25,16,14
도시대기,부산,해운대구,재송동,57,62,32,22,21,16
도시대기,부산,강서구,대저동,56,59,30,21,20,17
도시대기,부산,강서구,녹산동,58,64,34,24,22,22
도시대기,부산,강서구,명지동,59,66,34,23,19,18
도시대기,부산,기장군,기장읍,56,62,32,21,18,17
도시대기,부산,기장군,용수리,50,59,31,21,18,15
도시대기,부산,수영구,광안동,60,64,35,24,19,16
도시대기,부산,동래구,명장동,54,58,31,20,16,15
도시대기,부산,동구,수정동,56,57,32,22,20,17
도시대기,부산,서구,대신동,59,65,34,27,23,16
도시대기,대구,군위군,군위군,-,-,-,-,15,14
도시대기,대구,중구,수창동,60,69,36,27,23,18
도시대기,대구,중구,남산1동,67,72,38,25,24,20
도시대기,대구,서구,이현동,63,69,35,26,25,19
도시대기,대구,서구,내당동,63,67,36,25,24,19
도시대기,대구,남구,대명동,63,69,35,24,21,16
도시대기,대구,북구,태전동,60,68,33,25,25,17
도시대기,대구,북구,산격동,60,68,36,28,26,20
도시대기,대구,북구,침산동,60,64,33,24,23,18
도시대기,대구,동구,신암동,62,65,35,24,23,18
도시대기,대구,동구,서호동,65,68,32,25,27,17
도시대기,대구,수성구,만촌동,61,67,33,23,24,17
도시대기,대구,수성구,지산동,58,63,33,23,21,12
도시대기,대구,수성구,시지동,59,66,34,25,24,19
도시대기,대구,달서구,호림동,64,70,35,26,23,19
도시대기,대구,달서구,진천동,63,67,36,26,24,18
도시대기,대구,달서구,본동,67,69,37,26,24,18
도시대기,대구,달성군,유가읍,63,63,34,25,25,19
도시대기,대구,달성군,다사읍,59,65,34,26,25,19
도시대기,대구,달성군,화원읍,56,62,32,23,21,15
도시대기,인천,중구,신흥,83,71,45,30,26,22
도시대기,인천,중구,운서,63,66,34*,29,29,24
도시대기,인천,중구,영종,68,72,40,27,27,24
도시대기,인천,동구,송림,72,67,41**,-,-,-
도시대기,인천,남동구,구월동,78,71,45,26,25,23
도시대기,인천,남동구,고잔,76,71,48,32,32,26
도시대기,인천,남동구,논현,67,61,43,33,31,26
도시대기,인천,남동구,서창,73,66,42,30,29,24
도시대기,인천,부평구,부평,69,65,42,30,28,23
도시대기,인천,부평구,삼산,65,64,40,27,25,22
도시대기,인천,옹진군,영흥,65,71,42,25,24,19
도시대기,인천,서구,연희,63,60,36,25,25,19
도시대기,인천,서구,석남,74,71,46,32,29,24
도시대기,인천,서구,검단,79,73,44,33,33,26
도시대기,인천,서구,원당,72,61,39,29,27,23
도시대기,인천,서구,청라,76,70,38**,-,-,-
도시대기,인천,계양구,계산,76,74,43,30,26,22
도시대기,인천,계양구,효성,68,65,39,29,26,21
도시대기,인천,강화군,송해,65,70,39,27,28,21
도시대기,인천,강화군,길상,66,65,37,26,28,23
도시대기,인천,연수구,동춘,67,63,43,28,28,22
도시대기,인천,연수구,송도,68,68,42,26,26,23
도시대기,인천,연수구,아암,71,73,46,29,28,26
도시대기,인천,미추홀구,숭의,70,66,40,25,23,21
도시대기,인천,미추홀구,주안,78,69,47,33,30,24
도시대기,광주,동구,서석동,57,56,29,19,16,18
도시대기,광주,서구,농성동,60,55,26,27,26,22
도시대기,광주,서구,유촌동,73,70,33,22,16,18
도시대기,광주,북구,두암동,61,60,29,21,17,17
도시대기,광주,북구,건국동,54,54,28,19,15,18
도시대기,광주,북구,일곡동,49,49,25,18,16,16
도시대기,광주,광산구,오선동,59,60,31,22,17,18
도시대기,광주,광산구,평동,64,65,36,26,19,19
도시대기,광주,광산구,우산동,66,61,30,21,16,17
도시대기,광주,남구,주월동,71,68,32,21,18,19
도시대기,광주,남구,노대동,56,56,28,20,17,19
도시대기,대전,대덕구,읍내동,69,70,38,27,23,22
도시대기,대전,대덕구,문평동,74,72,37,27,22,21
도시대기,대전,중구,문창동,54,61,30,20,19,19
도시대기,대전,유성구,상대동,64,63,33,23,18,18
도시대기,대전,유성구,구성동,63,66,33,24,21,20
도시대기,대전,유성구,노은동,66,71,33,24,21,20
도시대기,대전,유성구,관평동,67,68,34,23,19,17
도시대기,대전,동구,성남동,67,70,35,24,20,21
도시대기,대전,동구,대성동,55,58,29,23,24,19
도시대기,대전,서구,정림동,59,66,33,26,23,25
도시대기,대전,서구,둔산동,66,76,41,28,26,25
도시대기,울산,중구,성남동,56,64,36,27,25,22
도시대기,울산,중구,약사동,68,75,46,33,33,22
도시대기,울산,남구,부곡동,60,67,40,34,27,22
도시대기,울산,남구,여천동,73,74,41,35,31,27
도시대기,울산,남구,야음동,61,67,42,29,26,22
도시대기,울산,남구,신정동,56,61,33,25,24,20
도시대기,울산,남구,무거동,54,56,30,23,25,21
도시대기,울산,남구,삼산동,59,63,38,31,27,22
도시대기,울산,울주군,덕신리,55,60,33,28,25,20**
도시대기,울산,울주군,웅촌면,58,59,32,24,25,23
도시대기,울산,울주군,삼남읍,52,56,30,19,23,18**
도시대기,울산,울주군,화산리,54,61,41,34,33,25
도시대기,울산,울주군,상남리,56,61,34,26,25,20
도시대기,울산,울주군,범서읍,57,58,31,22,29,21
도시대기,울산,북구,송정동,57,61,33,27,26,19
도시대기,울산,북구,효문동,66,73,46,38,34,25
도시대기,울산,북구,농소동,51,55,27,22,21,15
도시대기,울산,동구,대송동,60,68,37,27,25,20
도시대기,울산,동구,전하동,57,66,39,29,27,23
도시대기,세종,세종,신흥동,69,73,38,27,24,23
도시대기,세종,세종,아름동,68,74,38,28,23,23
도시대기,세종,세종,한솔동,64,68,31,23,20,20
도시대기,세종,세종,부강면,71,68,36,25,22,21
도시대기,세종,세종,전의면,69,69,37,26,22,21
도시대기,경기,수원,인계동,75,67,38,26,22,19
도시대기,경기,수원,신풍동,67,69,41,27,26,22
도시대기,경기,수원,광교동,76,68,42,34,27,22
도시대기,경기,수원,영통동,67,68,39,30,29,24
도시대기,경기,수원,천천동,71,70,43,31,28,24
도시대기,경기,수원,고색동,84,79,47,39,39,30
도시대기,경기,수원,호매실동,72,70,41,29,28,24
도시대기,경기,안양,안양8동,66,63,38,29,27,21
도시대기,경기,안양,부림동,75,70,45,35,24,27
도시대기,경기,안양,호계동,84,76,44,32,25,22
도시대기,경기,안양,안양2동,72,66,40,29,27,24
도시대기,경기,성남,단대동,68,63,39,30,27,23
도시대기,경기,성남,정자동,70,61,34,25,22,19
도시대기,경기,성남,수내동,70,63,37,29,28,23
도시대기,경기,성남,복정동,70,65,40,32,30,26
도시대기,경기,성남,상대원동,70,62,35,26,23,20
도시대기,경기,성남,운중동,72,64,39,25,22,19
도시대기,경기,의정부,의정부동,68,63,37,29,28,22
도시대기,경기,의정부,의정부1동,73,67,41,31,28*,22
도시대기,경기,의정부,송산3동,66,58,36,29,31,23
도시대기,경기,광명,철산동,79,49*,42,29,24,21
도시대기,경기,광명,소하동,70**,76*,44,31,27,24
도시대기,경기,안산,고잔동,70,70,40,27,25,21
도시대기,경기,안산,원시동,82,81,53,35,35,29
도시대기,경기,안산,본오동,72,66,40,25,25,24
도시대기,경기,안산,원곡동,83,79,54,46,38,30
도시대기,경기,안산,부곡동,76,65,40,27,24,21
