구분(1),구분(2),구분(3),구분(4),2023.03,2023.04,2023.05,2023.06,2023.07,2023.08
도시대기,서울특별시,중구,중구,0.0032,0.0028,0.003,0.0026,0.0027,0.0029
도시대기,서울특별시,종로구,종로구,0.0032,0.0029*,0.0031,0.0029,0.0032,0.003
도시대기,서울특별시,중랑구,중랑구,0.0028,0.0023,0.0025,0.0023,0.0024,0.0022
도시대기,서울특별시,동대문구,동대문구,0.0036,0.0032,0.0033,0.0031,0.0031,0.0029
도시대기,서울특별시,은평구,은평구,0.0025**,0.0022,0.0022,0.0024,0.0029,0.0032
도시대기,서울특별시,마포구,마포구,0.0033,0.0028,0.0033,0.0029,0.003,0.0026
도시대기,서울특별시,영등포구,영등포구,0.0032,0.0027,0.003,0.0027,0.0027,0.0025
도시대기,서울특별시,동작구,동작구,0.003,0.0025,0.0027,0.0026,0.0025,0.0025
도시대기,서울특별시,관악구,관악구,0.0032,0.0028,0.0031,0.003,0.0029,0.0027
도시대기,서울특별시,강남구,강남구,0.0035,0.003,0.0032,0.0032,0.003,0.0031
도시대기,서울특별시,금천구,금천구,0.0035,0.0031,0.0032,0.0031,0.003,0.0031
도시대기,서울특별시,강동구,강동구,0.0026,0.0025,0.0026,0.0025,0.0026,0.0024
도시대기,서울특별시,강북구,강북구,0.0026,0.0023,0.0023,0.0022,0.0023,0.0022
도시대기,서울특별시,성북구,성북구,0.0034,0.0025,0.0024,0.0024,0.0029,0.0024
도시대기,서울특별시,용산구,용산구,0.0036,0.0032,0.0033,0.0031,0.0031,0.0031
도시대기,서울특별시,광진구,광진구,0.0034,0.0026,0.0026,0.0027,0.0025,0.0023
도시대기,서울특별시,성동구,성동구,0.0032,0.0027,0.0028,0.0027,0.0028,0.0026
도시대기,서울특별시,도봉구,도봉구,0.0029,0.0027,0.0029,0.0025,0.0026,0.0025
도시대기,서울특별시,서대문구,서대문구,0.0031,0.0028,0.0027,0.0023,0.0027,0.0031
도시대기,서울특별시,구로구,구로구,0.0032,0.0029,0.003,0.0024,0.0024,0.0022
도시대기,서울특별시,서초구,서초구,0.0031,0.0025,0.0029,0.0028,0.0029,0.0029
도시대기,서울특별시,강서구,강서구,0.0034,0.0028,0.0032,0.0028,0.0026,0.0026
도시대기,서울특별시,송파구,송파구,0.003,0.0025,0.0027,0.0025,0.0025,0.0024
도시대기,서울특별시,양천구,양천구,0.0036,0.0026,0.0031,0.0028,0.0027,0.0026
도시대기,서울특별시,노원구,노원구,0.0032,0.0028,0.0028,0.0026,0.0022,0.002
도시대기,부산광역시,중구,광복동,0.0033,0.0031,0.0028,0.0025,0.0026,0.0026
도시대기,부산광역시,남구,대연동,0.0022,0.0019,0.0023,0.002,0.0018,0.002
도시대기,부산광역시,남구,용호동,0.0055,0.005,0.0041,0.0031,0.0035,0.0038
도시대기,부산광역시,사상구,학장동,0.0016,0.0016,0.0019,0.0017,0.0016,0.0019
도시대기,부산광역시,사상구,덕포동,0.0026,0.0032,0.0034,0.0038,0.0028,0.0028
도시대기,부산광역시,북구,덕천동,0.0025,0.0024,0.0024,0.0027,0.0023,0.0024
도시대기,부산광역시,사하구,장림동,0.0022,0.002,0.0024,0.0022,0.0017,0.0019
도시대기,부산광역시,사하구,당리동,0.0029,0.0021,0.0025,0.0026,0.0026,0.0024
도시대기,부산광역시,부산진구,전포동,0.0019,0.0017,0.0018,0.0022,0.0024,0.0025
도시대기,부산광역시,부산진구,개금동,0.0027,0.0024,0.0029,0.0034,0.0035,0.0026
도시대기,부산광역시,연제구,연산동,0.0031,0.0028,0.003,0.0029,0.0031,0.003
도시대기,부산광역시,영도구,태종대,0.0025,0.0024,0.0028,0.0026,0.0022,0.0022
도시대기,부산광역시,영도구,청학동,0.0028,0.0023,0.0024,0.0022,0.0022,0.0022
도시대기,부산광역시,금정구,청룡동,0.0023,0.0023,0.0024,0.0026,0.0025,0.0026
도시대기,부산광역시,금정구,부곡동,0.0017,0.0015,0.0017,0.0019,0.0021,0.002
도시대기,부산광역시,금정구,회동동,0.0023,0.0022,0.0022,0.0023,0.0022,0.0023
도시대기,부산광역시,해운대구,좌동,0.0036,0.0032,0.0031,0.003,0.0021,0.0023
도시대기,부산광역시,해운대구,재송동,0.0069,0.0068,0.0063*,0.0037,0.0028,0.0025
도시대기,부산광역시,강서구,대저동,0.0026,0.0024,0.0024,0.0023,0.0022,0.0022
도시대기,부산광역시,강서구,녹산동,0.0028,0.0023,0.0022,0.0027,0.0022,0.0023
도시대기,부산광역시,강서구,명지동,0.0024,0.0021,0.0025,0.0025,0.0023,0.0023
도시대기,부산광역시,기장군,기장읍,0.0023,0.0022,0.0023,0.0027,0.0019,0.0028
도시대기,부산광역시,기장군,용수리,0.0027,0.0024,0.0029,0.0039,0.0033,0.0027
도시대기,부산광역시,동구,수정동,0.0020*,0.0018,0.002,0.0019,0.0022,0.0023
도시대기,부산광역시,서구,대신동,0.0038,0.0041,0.0046*,0.0039,0.0022,0.0023
도시대기,대구광역시,군위군,군위군,-,-,-,-,0.001,0.001
도시대기,대구광역시,중구,수창동,0.0023,0.0016,0.0017,0.0017,0.0017,0.0018
도시대기,대구광역시,중구,남산1동,0.0023,0.0019,0.0023,0.0018,0.0015,0.002
도시대기,대구광역시,서구,내당동,0.0018,0.0016,0.0017,0.0014,0.0012,0.0011
도시대기,대구광역시,서구,이현동,0.0025,0.002,0.0022,0.002,0.0013,0.0018
도시대기,대구광역시,남구,대명동,0.0026,0.0019,0.0019,0.0018,0.0012,0.0013
도시대기,대구광역시,북구,침산동,0.003,0.0019,0.0024,0.0021,0.0015,0.0014
도시대기,대구광역시,북구,태전동,0.0024,0.0022,0.0022,0.0022,0.0021,0.0033
도시대기,대구광역시,북구,산격동,0.0025,0.0017,0.0016,0.0021,0.0021,0.0014
도시대기,대구광역시,동구,신암동,0.003,0.0022,0.0023,0.0023,0.0024,0.0023
도시대기,대구광역시,동구,서호동,0.0016,0.0011,0.0013,0.0013,0.0013,0.0014
도시대기,대구광역시,수성구,만촌동,0.0029,0.0024,0.0023,0.003,0.0025,0.0025
도시대기,대구광역시,수성구,지산동,0.002,0.002,0.0017,0.0019,0.0017,0.0027
도시대기,대구광역시,수성구,시지동,0.002,0.0014,0.0017,0.0016,0.0013,0.0017
도시대기,대구광역시,달서구,호림동,0.002,0.0018,0.0016,0.0015,0.0021,0.0022
도시대기,대구광역시,달서구,진천동,0.0017,0.0013,0.0013,0.0012,0.0016,0.0016
도시대기,대구광역시,달서구,본동,0.0017,0.0012,0.0013,0.0012,0.0011,0.0012
도시대기,대구광역시,달성군,유가읍,0.0017,0.0014,0.0015,0.0018,0.0017,0.0012
도시대기,대구광역시,달성군,다사읍,0.002,0.0019,0.0018,0.0021,0.002,0.002
도시대기,대구광역시,달성군,화원읍,0.0017,0.0023,0.0015,0.0016,0.0017,0.002
도시대기,인천광역시,중구,신흥,0.0044,0.0038,0.0039,0.0037,0.0037,0.0037
도시대기,인천광역시,중구,운서,0.0027,0.0025,0.0027*,0.0027,0.0028,0.0025
도시대기,인천광역시,중구,영종,0.0033,0.0029,0.0029,0.0026,0.0027,0.0027
도시대기,인천광역시,동구,송림,0.0031,0.0027,0.0033**,-,-,-
도시대기,인천광역시,남동구,구월동,0.0032,0.003,0.0027,0.0025,0.0028,0.0028
도시대기,인천광역시,남동구,고잔,0.0046,0.0039,0.0038,0.0033,0.0034,0.0035
도시대기,인천광역시,남동구,논현,0.0034,0.0028,0.0028,0.0026,0.0027,0.0027
도시대기,인천광역시,남동구,서창,0.0036,0.0031,0.0031,0.0029,0.0031,0.0031
도시대기,인천광역시,부평구,부평,0.0039,0.003,0.0033,0.0034,0.0033,0.0031
도시대기,인천광역시,부평구,삼산,0.004,0.0036,0.0038,0.0032,0.002,0.0032
도시대기,인천광역시,서구,연희,0.0036,0.0034,0.0035,0.0032,0.0028,0.0032
도시대기,인천광역시,서구,석남,0.0039,0.0033,0.0035,0.0032,0.0033,0.0039
도시대기,인천광역시,서구,검단,0.0038,0.0034,0.0035,0.0033,0.0033,0.0032
도시대기,인천광역시,서구,원당,0.0036,0.0031,0.0034,0.0028,0.003,0.0029
도시대기,인천광역시,서구,청라,0.004,0.0037,0.0035**,-,-,-
도시대기,인천광역시,계양구,계산,0.0036,0.0034,0.0035,0.0033,0.0034,0.0034
도시대기,인천광역시,계양구,효성,0.0037,0.0032,0.0032,0.0027,0.0027,0.0025*
도시대기,인천광역시,강화군,송해,0.0033,0.0028,0.0027,0.0026,0.0017,0.0023
도시대기,인천광역시,강화군,길상,0.0031,0.0026,0.0025,0.0021,0.0017,0.0023
도시대기,인천광역시,연수구,동춘,0.004,0.0034,0.0035,0.0031,0.0026,0.0024
도시대기,인천광역시,연수구,송도,0.0036,0.0032,0.0032,0.003,0.0029,0.0031
도시대기,인천광역시,연수구,아암,0.003,0.0025,0.0025,0.0022,0.0023,0.0025
도시대기,인천광역시,옹진군,영흥,0.003,0.0027,0.0029,0.003,0.0035,0.0037
도시대기,인천광역시,미추홀구,숭의,0.0037,0.0028,0.0031,0.0029,0.0029,0.0029
도시대기,인천광역시,미추홀구,주안,0.0042,0.0034,0.0033,0.0032,0.0031,0.0033
도시대기,광주광역시,동구,서석동,0.0024,0.0022,0.0024,0.0028,0.0027,0.0025
도시대기,광주광역시,서구,농성동,0.0028,0.0027,0.0027,0.0027,0.0026,0.0024
도시대기,광주광역시,서구,유촌동,0.0024,0.0028,0.0027,0.0025,0.0026,0.0026
도시대기,광주광역시,북구,두암동,0.0025,0.0025,0.0025,0.0027,0.0025,0.0021
도시대기,광주광역시,북구,건국동,0.0024,0.0025,0.0025,0.0026,0.0025,0.0024
도시대기,광주광역시,북구,일곡동,0.0026,0.0025,0.0026,0.0028,0.0029,0.0027
도시대기,광주광역시,광산구,오선동,0.0028,0.0029,0.0028,0.0027,0.0027,0.0031
도시대기,광주광역시,광산구,평동,0.0027,0.0027,0.0025,0.0027,0.0025,0.0026
도시대기,광주광역시,광산구,우산동,0.0029,0.0027,0.0028,0.0027,0.0027,0.0027
도시대기,광주광역시,남구,주월동,0.0029,0.0023,0.0025,0.0025,0.0024,0.0024
도시대기,광주광역시,남구,노대동,0.0025,0.0022,0.0023,0.0024,0.0026,0.0024
도시대기,대전광역시,대덕구,읍내동,0.0037,0.0026,0.0027,0.0026,0.0022,0.0024
도시대기,대전광역시,대덕구,문평동,0.0032,0.0025,0.0025,0.0027,0.0026,0.0025
도시대기,대전광역시,중구,문창동,0.0028,0.0024,0.0023,0.0025,0.0021,0.0025
도시대기,대전광역시,유성구,상대동,0.0026,0.0023,0.0023,0.0023,0.0025,0.0025
도시대기,대전광역시,유성구,관평동,0.0028,0.0021,0.0023,0.0024,0.0023,0.0025
도시대기,대전광역시,유성구,구성동,0.0031,0.0026,0.0025,0.0025,0.0022,0.0025
도시대기,대전광역시,유성구,노은동,0.004,0.0031,0.0027,0.0027,0.0026,0.0028
