날짜,최고기온
2023-03-31,23.9
2023-03-30,21.1
2023-03-29,19.8
2023-03-28,15.4
2023-03-27,13.8
2023-03-26,14.1
2023-03-25,18.2
2023-03-24,18.6
2023-03-23,23.6
2023-03-22,24.1
2023-03-21,21.0
2023-03-20,16.6
2023-03-19,14.7
2023-03-18,14.2
2023-03-17,12.8
2023-03-16,9.3
2023-03-15,14.9
2023-03-14,15.1
2023-03-13,6.8
2023-03-12,11.8
2023-03-11,22.4
2023-03-10,21.5
2023-03-09,13.4
2023-03-08,17.5
2023-03-07,18.3
2023-03-06,15.5
2023-03-05,14.8
2023-03-04,13.7
2023-03-03,9.1
2023-03-02,5.9
2023-03-01,9.1
2023-04-30,17.7
2023-04-29,15.4
2023-04-28,21.5
2023-04-27,20.7
2023-04-26,12.9
2023-04-25,13.0
2023-04-24,21.1
2023-04-23,22.9
2023-04-22,21.9
2023-04-21,22.7
2023-04-20,18.6
2023-04-19,27.9
2023-04-18,17.6
2023-04-17,18.1
2023-04-16,15.7
2023-04-15,16.1
2023-04-14,21.4
2023-04-13,17.6
2023-04-12,15.5
2023-04-11,17.1
2023-04-10,19.1
2023-04-09,18.0
2023-04-08,14.5
2023-04-07,16.0
2023-04-06,10.7
2023-04-05,14.4
2023-04-04,21.3
2023-04-03,25.6
2023-04-02,24.6
2023-04-01,25.1
2023-05-31,28.3
2023-05-30,28.8
2023-05-29,29.1
2023-05-28,20.2
2023-05-27,20.3
2023-05-26,26.5
2023-05-25,27.3
2023-05-24,25.6
2023-05-23,26.4
2023-05-22,26.0
2023-05-21,23.0
2023-05-20,26.6
2023-05-19,26.8
2023-05-18,27.8
2023-05-17,28.7
2023-05-16,31.1
2023-05-15,27.4
2023-05-14,23.6
2023-05-13,24.0
2023-05-12,24.2
2023-05-11,26.5
2023-05-10,26.0
2023-05-09,25.4
2023-05-08,22.4
2023-05-07,18.8
2023-05-06,14.5
2023-05-05,21.2
2023-05-04,25.6
2023-05-03,26.0
2023-05-02,23.8
2023-05-01,20.1
2023-06-30,29.6
2023-06-29,25.2
2023-06-28,30.7
2023-06-27,29.5
2023-06-26,26.4
2023-06-25,33.1
2023-06-24,31.0
2023-06-23,29.6
2023-06-22,26.9
2023-06-21,21.1
2023-06-20,26.2
2023-06-19,33.5
2023-06-18,33.0
2023-06-17,30.5
2023-06-16,28.9
2023-06-15,28.1
2023-06-14,25.6
2023-06-13,26.6
2023-06-12,27.3
2023-06-11,26.9
2023-06-10,28.5
2023-06-09,27.8
2023-06-08,24.6
2023-06-07,25.4
2023-06-06,25.7
2023-06-05,26.1
2023-06-04,28.3
2023-06-03,27.9
2023-06-02,24.8
2023-06-01,26.6
2023-07-31,33.4
2023-07-30,35.1
2023-07-29,33.6
2023-07-28,34.6
2023-07-27,32.9
2023-07-26,30.9
2023-07-25,31.3
2023-07-24,30.7
2023-07-23,25.1
2023-07-22,32.8
2023-07-21,34.3
2023-07-20,33.0
2023-07-19,32.4
2023-07-18,27.6
2023-07-17,28.4
2023-07-16,25.8
2023-07-15,25.3
2023-07-14,25.0
2023-07-13,25.6
2023-07-12,29.4
2023-07-11,25.1
2023-07-10,31.3
2023-07-09,25.8
2023-07-08,29.3
2023-07-07,32.3
2023-07-06,32.0
2023-07-05,28.0
2023-07-04,29.9
2023-07-03,34.7
2023-07-02,30.4
2023-07-01,33.3
2023-08-31,28.2
2023-08-30,24.9
2023-08-29,24.5
2023-08-28,23.7
2023-08-27,29.1
2023-08-26,30.6
2023-08-25,30.1
2023-08-24,26.9
2023-08-23,27.1
2023-08-22,31.2
2023-08-21,33.5
2023-08-20,31.5
2023-08-19,34.0
2023-08-18,33.8
2023-08-17,32.5
2023-08-16,32.0
2023-08-15,33.1
2023-08-14,33.5
2023-08-13,31.7
2023-08-12,23.4
2023-08-11,24.4
2023-08-10,23.7
2023-08-09,30.7
2023-08-08,35.1
2023-08-07,35.5
2023-08-06,34.0
2023-08-05,34.4
2023-08-04,34.0
2023-08-03,33.5
2023-08-02,33.8
2023-08-01,34.9
