날짜,최고기온
2023-03-31,24.6
2023-03-30,22.0
2023-03-29,20.3
2023-03-28,15.9
2023-03-27,14.7
2023-03-26,15.6
2023-03-25,18.8
2023-03-24,18.5
2023-03-23,24.2
2023-03-22,25.3
2023-03-21,21.8
2023-03-20,16.7
2023-03-19,15.8
2023-03-18,14.9
2023-03-17,13.1
2023-03-16,10.2
2023-03-15,16.7
2023-03-14,16.6
2023-03-13,7.8
2023-03-12,12.9
2023-03-11,23.7
2023-03-10,22.9
2023-03-09,13.3
2023-03-08,18.5
2023-03-07,19.8
2023-03-06,16.3
2023-03-05,15.5
2023-03-04,13.7
2023-03-03,10.9
2023-03-02,7.3
2023-03-01,9.6
2023-04-30,19.2
2023-04-29,15.5
2023-04-28,23.1
2023-04-27,21.3
2023-04-26,15.2
2023-04-25,13.6
2023-04-24,21.6
2023-04-23,22.1
2023-04-22,22.2
2023-04-21,23.5
2023-04-20,18.9
2023-04-19,29.4
2023-04-18,19.1
2023-04-17,19.6
2023-04-16,17.0
2023-04-15,18.0
2023-04-14,22.6
2023-04-13,18.3
2023-04-12,17.1
2023-04-11,18.2
2023-04-10,20.7
2023-04-09,18.8
2023-04-08,16.1
2023-04-07,16.9
2023-04-06,10.6
2023-04-05,14.9
2023-04-04,22.0
2023-04-03,26.4
2023-04-02,25.3
2023-04-01,25.8
2023-05-31,29.3
2023-05-30,28.5
2023-05-29,29.4
2023-05-28,20.1
2023-05-27,21.1
2023-05-26,28.4
2023-05-25,28.5
2023-05-24,26.4
2023-05-23,27.7
2023-05-22,27.0
2023-05-21,23.0
2023-05-20,27.6
2023-05-19,29.2
2023-05-18,27.1
2023-05-17,30.6
2023-05-16,33.0
2023-05-15,29.1
2023-05-14,24.8
2023-05-13,25.1
2023-05-12,25.5
2023-05-11,27.7
2023-05-10,27.4
2023-05-09,25.4
2023-05-08,23.7
2023-05-07,18.1
2023-05-06,15.3
2023-05-05,21.3
2023-05-04,26.5
2023-05-03,26.7
2023-05-02,24.8
2023-05-01,22.0
2023-06-30,30.2
2023-06-29,25.6
2023-06-28,30.9
2023-06-27,30.6
2023-06-26,27.2
2023-06-25,33.8
2023-06-24,33.2
2023-06-23,31.2
2023-06-22,27.8
2023-06-21,21.8
2023-06-20,26.5
2023-06-19,34.2
2023-06-18,34.3
2023-06-17,32.0
2023-06-16,30.8
2023-06-15,29.0
2023-06-14,26.5
2023-06-13,28.3
2023-06-12,28.9
2023-06-11,29.0
2023-06-10,29.8
2023-06-09,29.9
2023-06-08,24.7
2023-06-07,26.2
2023-06-06,26.4
2023-06-05,27.5
2023-06-04,29.4
2023-06-03,29.6
2023-06-02,26.9
2023-06-01,26.6
2023-07-31,35.1
2023-07-30,36.7
2023-07-29,34.9
2023-07-28,35.6
2023-07-27,34.3
2023-07-26,31.4
2023-07-25,32.6
2023-07-24,31.9
2023-07-23,25.5
2023-07-22,33.0
2023-07-21,36.3
2023-07-20,34.0
2023-07-19,33.7
2023-07-18,27.6
2023-07-17,29.1
2023-07-16,26.1
2023-07-15,26.3
2023-07-14,25.0
2023-07-13,26.4
2023-07-12,29.8
2023-07-11,26.0
2023-07-10,32.7
2023-07-09,27.9
2023-07-08,31.3
2023-07-07,32.4
2023-07-06,33.4
2023-07-05,28.6
2023-07-04,30.4
2023-07-03,36.4
2023-07-02,31.8
2023-07-01,35.1
2023-08-31,30.1
2023-08-30,24.8
2023-08-29,26.5
2023-08-28,25.2
2023-08-27,29.4
2023-08-26,31.7
2023-08-25,31.4
2023-08-24,27.7
2023-08-23,28.6
2023-08-22,33.3
2023-08-21,35.1
2023-08-20,33.9
2023-08-19,34.7
2023-08-18,35.4
2023-08-17,34.8
2023-08-16,33.7
2023-08-15,33.4
2023-08-14,34.4
2023-08-13,31.7
2023-08-12,24.5
2023-08-11,26.0
2023-08-10,24.9
2023-08-09,31.2
2023-08-08,36.5
2023-08-07,36.9
2023-08-06,35.4
2023-08-05,36.9
2023-08-04,35.7
2023-08-03,36.0
2023-08-02,35.7
2023-08-01,35.8
