날짜,최고기온
2023-03-31,23.3
2023-03-30,21.3
2023-03-29,19.6
2023-03-28,15.5
2023-03-27,13.6
2023-03-26,14.7
2023-03-25,19.1
2023-03-24,17.8
2023-03-23,23.1
2023-03-22,24.6
2023-03-21,21.3
2023-03-20,16.4
2023-03-19,14.6
2023-03-18,14.0
2023-03-17,12.3
2023-03-16,10.0
2023-03-15,14.5
2023-03-14,15.5
2023-03-13,7.4
2023-03-12,11.2
2023-03-11,23.2
2023-03-10,21.9
2023-03-09,12.4
2023-03-08,17.6
2023-03-07,18.5
2023-03-06,16.7
2023-03-05,15.2
2023-03-04,13.5
2023-03-03,9.9
2023-03-02,6.5
2023-03-01,9.3
2023-04-30,18.5
2023-04-29,14.9
2023-04-28,21.4
2023-04-27,20.1
2023-04-26,13.7
2023-04-25,13.0
2023-04-24,20.6
2023-04-23,22.6
2023-04-22,21.9
2023-04-21,22.7
2023-04-20,17.8
2023-04-19,28.3
2023-04-18,19.0
2023-04-17,18.2
2023-04-16,16.1
2023-04-15,16.5
2023-04-14,21.1
2023-04-13,17.5
2023-04-12,15.8
2023-04-11,17.0
2023-04-10,19.6
2023-04-09,18.3
2023-04-08,15.1
2023-04-07,16.0
2023-04-06,9.1
2023-04-05,14.3
2023-04-04,21.3
2023-04-03,25.1
2023-04-02,24.8
2023-04-01,25.9
2023-05-31,27.4
2023-05-30,28.4
2023-05-29,28.0
2023-05-28,19.7
2023-05-27,20.1
2023-05-26,26.8
2023-05-25,27.3
2023-05-24,25.4
2023-05-23,27.1
2023-05-22,26.2
2023-05-21,22.2
2023-05-20,27.0
2023-05-19,26.9
2023-05-18,27.2
2023-05-17,28.9
2023-05-16,31.0
2023-05-15,27.6
2023-05-14,23.5
2023-05-13,24.2
2023-05-12,24.3
2023-05-11,27.0
2023-05-10,25.8
2023-05-09,24.3
2023-05-08,22.6
2023-05-07,17.7
2023-05-06,14.8
2023-05-05,21.0
2023-05-04,24.9
2023-05-03,26.2
2023-05-02,24.2
2023-05-01,20.6
2023-06-30,28.7
2023-06-29,24.8
2023-06-28,29.8
2023-06-27,29.0
2023-06-26,26.7
2023-06-25,32.4
2023-06-24,30.9
2023-06-23,29.4
2023-06-22,26.9
2023-06-21,21.9
2023-06-20,25.5
2023-06-19,33.5
2023-06-18,31.5
2023-06-17,30.0
2023-06-16,29.1
2023-06-15,28.2
2023-06-14,25.9
2023-06-13,26.6
2023-06-12,27.9
2023-06-11,26.9
2023-06-10,28.2
2023-06-09,27.7
2023-06-08,24.0
2023-06-07,24.7
2023-06-06,25.6
2023-06-05,26.2
2023-06-04,27.4
2023-06-03,28.0
2023-06-02,24.8
2023-06-01,26.6
2023-07-31,33.4
2023-07-30,34.5
2023-07-29,32.9
2023-07-28,34.4
2023-07-27,33.1
2023-07-26,31.1
2023-07-25,30.7
2023-07-24,30.2
2023-07-23,25.1
2023-07-22,31.7
2023-07-21,34.2
2023-07-20,32.1
2023-07-19,31.9
2023-07-18,26.8
2023-07-17,27.9
2023-07-16,25.0
2023-07-15,25.2
2023-07-14,24.6
2023-07-13,26.2
2023-07-12,28.9
2023-07-11,25.4
2023-07-10,31.0
2023-07-09,27.2
2023-07-08,29.0
2023-07-07,31.3
2023-07-06,32.0
2023-07-05,27.7
2023-07-04,28.3
2023-07-03,34.2
2023-07-02,29.6
2023-07-01,32.7
2023-08-31,28.5
2023-08-30,25.3
2023-08-29,25.6
2023-08-28,25.0
2023-08-27,28.9
2023-08-26,29.8
2023-08-25,30.3
2023-08-24,27.5
2023-08-23,26.5
2023-08-22,31.5
2023-08-21,32.8
2023-08-20,31.5
2023-08-19,33.3
2023-08-18,33.0
2023-08-17,32.8
2023-08-16,30.6
2023-08-15,32.3
2023-08-14,32.5
2023-08-13,31.1
2023-08-12,23.5
2023-08-11,24.7
2023-08-10,24.5
2023-08-09,31.2
2023-08-08,35.2
2023-08-07,34.4
2023-08-06,33.6
2023-08-05,34.3
2023-08-04,34.0
2023-08-03,33.4
2023-08-02,33.6
2023-08-01,34.4
