날짜,최고기온
2023-03-31,23.8
2023-03-30,21.0
2023-03-29,19.2
2023-03-28,16.0
2023-03-27,13.6
2023-03-26,13.0
2023-03-25,18.3
2023-03-24,17.6
2023-03-23,22.2
2023-03-22,23.7
2023-03-21,20.2
2023-03-20,15.8
2023-03-19,14.7
2023-03-18,13.1
2023-03-17,11.4
2023-03-16,8.2
2023-03-15,14.3
2023-03-14,15.6
2023-03-13,6.2
2023-03-12,11.5
2023-03-11,22.5
2023-03-10,21.7
2023-03-09,11.8
2023-03-08,17.8
2023-03-07,18.1
2023-03-06,15.2
2023-03-05,14.7
2023-03-04,13.0
2023-03-03,9.5
2023-03-02,5.5
2023-03-01,7.9
2023-04-30,18.1
2023-04-29,14.1
2023-04-28,21.7
2023-04-27,20.5
2023-04-26,13.2
2023-04-25,12.5
2023-04-24,20.3
2023-04-23,21.4
2023-04-22,19.9
2023-04-21,21.4
2023-04-20,17.0
2023-04-19,28.3
2023-04-18,15.9
2023-04-17,18.3
2023-04-16,15.2
2023-04-15,17.0
2023-04-14,20.9
2023-04-13,17.7
2023-04-12,15.3
2023-04-11,15.7
2023-04-10,19.8
2023-04-09,18.3
2023-04-08,14.3
2023-04-07,15.6
2023-04-06,8.5
2023-04-05,13.6
2023-04-04,19.8
2023-04-03,23.7
2023-04-02,22.1
2023-04-01,24.1
2023-05-31,28.3
2023-05-30,26.9
2023-05-29,27.1
2023-05-28,19.0
2023-05-27,19.9
2023-05-26,26.7
2023-05-25,27.8
2023-05-24,25.6
2023-05-23,26.1
2023-05-22,23.9
2023-05-21,22.4
2023-05-20,27.2
2023-05-19,25.3
2023-05-18,26.1
2023-05-17,28.9
2023-05-16,31.3
2023-05-15,28.4
2023-05-14,24.3
2023-05-13,23.7
2023-05-12,24.8
2023-05-11,27.0
2023-05-10,26.1
2023-05-09,24.3
2023-05-08,22.7
2023-05-07,16.5
2023-05-06,13.6
2023-05-05,19.4
2023-05-04,24.7
2023-05-03,26.6
2023-05-02,23.6
2023-05-01,20.3
2023-06-30,29.8
2023-06-29,23.9
2023-06-28,30.7
2023-06-27,29.8
2023-06-26,25.6
2023-06-25,32.6
2023-06-24,31.1
2023-06-23,28.0
2023-06-22,26.3
2023-06-21,20.2
2023-06-20,25.0
2023-06-19,32.9
2023-06-18,32.9
2023-06-17,30.4
2023-06-16,29.2
2023-06-15,28.4
2023-06-14,26.1
2023-06-13,27.3
2023-06-12,28.0
2023-06-11,26.1
2023-06-10,29.0
2023-06-09,28.6
2023-06-08,23.5
2023-06-07,24.9
2023-06-06,25.9
2023-06-05,26.4
2023-06-04,28.0
2023-06-03,27.3
2023-06-02,24.8
2023-06-01,25.5
2023-07-31,33.3
2023-07-30,34.4
2023-07-29,34.0
2023-07-28,35.1
2023-07-27,32.4
2023-07-26,31.7
2023-07-25,31.3
2023-07-24,31.5
2023-07-23,24.5
2023-07-22,31.4
2023-07-21,33.8
2023-07-20,33.2
2023-07-19,32.4
2023-07-18,26.6
2023-07-17,28.1
2023-07-16,24.4
2023-07-15,24.2
2023-07-14,24.1
2023-07-13,25.1
2023-07-12,29.6
2023-07-11,24.1
2023-07-10,31.5
2023-07-09,26.1
2023-07-08,29.1
2023-07-07,30.4
2023-07-06,32.1
2023-07-05,27.9
2023-07-04,28.4
2023-07-03,34.9
2023-07-02,30.3
2023-07-01,33.7
2023-08-31,28.1
2023-08-30,23.5
2023-08-29,24.6
2023-08-28,24.0
2023-08-27,28.1
2023-08-26,30.0
2023-08-25,30.2
2023-08-24,26.2
2023-08-23,26.6
2023-08-22,32.3
2023-08-21,32.8
2023-08-20,32.4
2023-08-19,34.1
2023-08-18,33.5
2023-08-17,31.8
2023-08-16,31.8
2023-08-15,31.7
2023-08-14,31.7
2023-08-13,30.7
2023-08-12,23.2
2023-08-11,24.4
2023-08-10,22.9
2023-08-09,29.4
2023-08-08,34.1
2023-08-07,34.3
2023-08-06,34.1
2023-08-05,34.9
2023-08-04,34.4
2023-08-03,33.6
2023-08-02,33.5
2023-08-01,35.1
