Category,City,District_1,District_2,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08
Urban_air,Seoul,Jung,Jung,62,56,33,23,22,18
Urban_air,Seoul,Jongno,Jongno,67,61,37,26,25,20
Urban_air,Seoul,Jungnang,Jungnang,64,59,37,28,28,22
Urban_air,Seoul,Dongdaemun,Dongdaemun,67,64,41,30,30,23
Urban_air,Seoul,Eunpyeong,Eunpyeong,67,65,38,28,28*,20
Urban_air,Seoul,Mapo,Mapo,59,56,37,27,26,22
Urban_air,Seoul,Yeongdeungpo,Yeongdeungpo,63,58,37,27,26,22
Urban_air,Seoul,Dongjak,Dongjak,66,59,37,27,26,22
Urban_air,Seoul,Gwanak,Gwanak,71,66,43,32,30,26
Urban_air,Seoul,Gangnam,Gangnam,65,60,38,29,27,23
Urban_air,Seoul,Geumcheon,Geumcheon,59,55,36,30,29,22
Urban_air,Seoul,Gangdong,Gangdong,69,61,38,28,25,21
Urban_air,Seoul,Gangbuk,Gangbuk,69,64,39,29,31,23
Urban_air,Seoul,Seongbuk,Seongbuk,72,68,41,30,22,18
Urban_air,Seoul,Yongsan,Yongsan,71,68,42,30,28,24
Urban_air,Seoul,Gwangjin,Gwangjin,65,60,38,28,27,22
Urban_air,Seoul,Seongdong,Seongdong,67,60,38,28,26,21
Urban_air,Seoul,Dobong,Dobong,67,63,36,26,22,16
Urban_air,Seoul,Seodaemun,Seodaemun,68,61,35,26,22,17
Urban_air,Seoul,Guro,Guro,79,73,39,26,21,17
Urban_air,Seoul,Seocho,Seocho,73,67,42,30,27,21
Urban_air,Seoul,Gangseo,Gangseo,79,73,44,30,27,23
Urban_air,Seoul,Songpa,Songpa,73,69,42,31,29,24
Urban_air,Seoul,Yangcheon,Yangcheon,71,63,38,29,28,22
Urban_air,Seoul,Nowon,Nowon,69,64,37,27,27,21
