Category,City,District_1,District_2,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08
Urban_air,Seoul,Central,Central,0.0032,0.0028,0.003,0.0026,0.0027,0.0029
Urban_air,Seoul,Jongno,Jongno,0.0032,0.0029*,0.0031,0.0029,0.0032,0.003
Urban_air,Seoul,Jungnang,Jungnang,0.0028,0.0023,0.0025,0.0023,0.0024,0.0022
Urban_air,Seoul,Dongdaemun,Dongdaemun,0.0036,0.0032,0.0033,0.0031,0.0031,0.0029
Urban_air,Seoul,Eunpyeong,Eunpyeong,0.0025**,0.0022,0.0022,0.0024,0.0029,0.0032
Urban_air,Seoul,Mapo,Mapo,0.0033,0.0028,0.0033,0.0029,0.003,0.0026
Urban_air,Seoul,Yeongdeungpo,Yeongdeungpo,0.0032,0.0027,0.003,0.0027,0.0027,0.0025
Urban_air,Seoul,Dongjak,Dongjak,0.003,0.0025,0.0027,0.0026,0.0025,0.0025
Urban_air,Seoul,Gwanak,Gwanak,0.0032,0.0028,0.0031,0.003,0.0029,0.0027
Urban_air,Seoul,Gangnam,Gangnam,0.0035,0.003,0.0032,0.0032,0.003,0.0031
Urban_air,Seoul,Geumcheon,Geumcheon,0.0035,0.0031,0.0032,0.0031,0.003,0.0031
Urban_air,Seoul,Gangdong,Gangdong,0.0026,0.0025,0.0026,0.0025,0.0026,0.0024
Urban_air,Seoul,Gangbuk,Gangbuk,0.0026,0.0023,0.0023,0.0022,0.0023,0.0022
Urban_air,Seoul,Seongbuk,Seongbuk,0.0034,0.0025,0.0024,0.0024,0.0029,0.0024
Urban_air,Seoul,Yongsan,Yongsan,0.0036,0.0032,0.0033,0.0031,0.0031,0.0031
Urban_air,Seoul,Gwangjin,Gwangjin,0.0034,0.0026,0.0026,0.0027,0.0025,0.0023
Urban_air,Seoul,Seongdong,Seongdong,0.0032,0.0027,0.0028,0.0027,0.0028,0.0026
Urban_air,Seoul,Dobong,Dobong,0.0029,0.0027,0.0029,0.0025,0.0026,0.0025
Urban_air,Seoul,Seodaemun,Seodaemun,0.0031,0.0028,0.0027,0.0023,0.0027,0.0031
Urban_air,Seoul,Guro,Guro,0.0032,0.0029,0.003,0.0024,0.0024,0.0022
Urban_air,Seoul,Seocho,Seocho,0.0031,0.0025,0.0029,0.0028,0.0029,0.0029
Urban_air,Seoul,Gangseo,Gangseo,0.0034,0.0028,0.0032,0.0028,0.0026,0.0026
Urban_air,Seoul,Songpa,Songpa,0.003,0.0025,0.0027,0.0025,0.0025,0.0024
Urban_air,Seoul,Yangcheon,Yangcheon,0.0036,0.0026,0.0031,0.0028,0.0027,0.0026
Urban_air,Seoul,Nowon,Nowon,0.0032,0.0028,0.0028,0.0026,0.0022,0.002
