구분(1),구분(2),구분(3),구분(4),2023.03,2023.04,2023.05,2023.06,2023.07,2023.08
도시대기,서울,중구,중구,0.039,0.036,0.0394,0.0449,0.0341,0.0324
도시대기,서울,종로구,종로구,0.0342,0.0387,0.0437,0.0502,0.0386,0.037
도시대기,서울,중랑구,중랑구,0.0339,0.0382,0.0422,0.0448,0.0362,0.0316
도시대기,서울,동대문구,동대문구,0.0355,0.0398,0.0432,0.0507,0.04,0.0366
도시대기,서울,은평구,은평구,0.0365,0.04,0.0443,0.0455,0.0302,0.0288
도시대기,서울,마포구,마포구,0.0324,0.0378,0.0432,0.0533,0.0425,0.0388
도시대기,서울,영등포구,영등포구,0.0314,0.0355,0.0394,0.0502,0.0381,0.0356
도시대기,서울,동작구,동작구,0.0363,0.044,0.0453,0.051,0.0393,0.0389
도시대기,서울,관악구,관악구,0.028,0.0396,0.0432,0.0501,0.0399,0.0379
도시대기,서울,강남구,강남구,0.0342,0.0402,0.0426,0.0484,0.0371,0.0349
도시대기,서울,금천구,금천구,0.0369,0.04,0.0395,0.0424,0.0345,0.0309
도시대기,서울,강동구,강동구,0.0282,0.0328,0.0344,0.039,0.0306,0.0313
도시대기,서울,강북구,강북구,0.039,0.041,0.0463,0.05,0.038,0.0357
도시대기,서울,성북구,성북구,0.031,0.0357,0.0417,0.0469,0.0356,0.0326
도시대기,서울,용산구,용산구,0.0332,0.0392,0.0426,0.0528,0.0401,0.034
도시대기,서울,광진구,광진구,0.0283,0.0344,0.0406,0.0488,0.0357,0.0337
도시대기,서울,성동구,성동구,0.0321,0.0389,0.0426,0.0487,0.0374,0.035
도시대기,서울,도봉구,도봉구,0.0378,0.0392,0.044,0.0513,0.04,0.0361
도시대기,서울,서대문구,서대문구,0.0377,0.0407,0.0463,0.051,0.0394,0.0371
도시대기,서울,구로구,구로구,0.0291,0.0359,0.0374,0.0442,0.0347,0.0307
도시대기,서울,서초구,서초구,0.0308,0.0348,0.0396,0.0481,0.0378,0.0346
도시대기,서울,강서구,강서구,0.0363,0.0402,0.0446,0.0502,0.0377,0.0351
도시대기,서울,송파구,송파구,0.0303,0.0372,0.0403,0.0495,0.039,0.0353
도시대기,서울,양천구,양천구,0.03,0.0343,0.0395,0.0477,0.0361,0.0357
도시대기,서울,노원구,노원구,0.033,0.038,0.0427,0.0471,0.036,0.0346
도시대기,부산,중구,광복동,0.0412,0.0421,0.0389,0.0377,0.0255,0.0321
도시대기,부산,남구,대연동,0.0389,0.0417,0.0404,0.0392,0.0221,0.0289
도시대기,부산,남구,용호동,0.0396,0.0433,0.0409,0.041,0.0265,0.0362
도시대기,부산,사상구,학장동,0.0343,0.0386,0.0377,0.0353,0.0215,0.0232
