날짜,최고기온
2023-03-31,23.9
2023-03-30,21.4
2023-03-29,20.1
2023-03-28,16.2
2023-03-27,14.4
2023-03-26,16.3
2023-03-25,18.0
2023-03-24,18.7
2023-03-23,23.6
2023-03-22,25.1
2023-03-21,21.1
2023-03-20,16.8
2023-03-19,15.5
2023-03-18,14.9
2023-03-17,12.9
2023-03-16,10.9
2023-03-15,16.8
2023-03-14,16.4
2023-03-13,8.8
2023-03-12,13.6
2023-03-11,23.6
2023-03-10,22.2
2023-03-09,13.9
2023-03-08,18.9
2023-03-07,19.0
2023-03-06,16.7
2023-03-05,15.8
2023-03-04,13.6
2023-03-03,11.0
2023-03-02,7.2
2023-03-01,10.2
날짜,최고기온
2023-04-30,19.3
2023-04-29,15.9
2023-04-28,21.9
2023-04-27,20.9
2023-04-26,14.2
2023-04-25,13.7
2023-04-24,20.6
2023-04-23,21.4
2023-04-22,21.8
2023-04-21,24.0
2023-04-20,19.2
2023-04-19,28.3
2023-04-18,18.7
2023-04-17,18.8
2023-04-16,17.2
2023-04-15,17.1
2023-04-14,22.2
2023-04-13,18.3
2023-04-12,16.4
2023-04-11,18.3
2023-04-10,19.9
2023-04-09,19.0
2023-04-08,15.9
2023-04-07,16.5
2023-04-06,10.7
2023-04-05,15.6
2023-04-04,21.4
2023-04-03,25.1
2023-04-02,24.1
2023-04-01,25.1
2023-05-31,28.6
2023-05-30,28.2
2023-05-29,28.9
2023-05-28,20.6
2023-05-27,20.7
2023-05-26,27.2
2023-05-25,27.7
2023-05-24,26.2
2023-05-23,26.7
2023-05-22,25.5
2023-05-21,22.2
2023-05-20,27.4
2023-05-19,27.3
2023-05-18,26.4
2023-05-17,29.5
2023-05-16,32.1
2023-05-15,28.3
2023-05-14,24.4
2023-05-13,25.0
2023-05-12,25.7
2023-05-11,27.4
2023-05-10,26.4
2023-05-09,25.2
2023-05-08,23.0
2023-05-07,18.1
2023-05-06,14.9
2023-05-05,21.0
2023-05-04,25.8
2023-05-03,26.4
2023-05-02,24.2
2023-05-01,20.8
2023-06-30,30.6
2023-06-29,25.8
2023-06-28,30.6
2023-06-27,30.2
2023-06-26,26.9
2023-06-25,32.9
2023-06-24,32.2
2023-06-23,29.5
2023-06-22,26.9
2023-06-21,22.4
2023-06-20,27.1
2023-06-19,33.9
2023-06-18,33.2
2023-06-17,31.9
2023-06-16,30.3
2023-06-15,29.1
2023-06-14,26.0
2023-06-13,28.2
2023-06-12,28.4
2023-06-11,27.9
2023-06-10,28.4
2023-06-09,28.9
2023-06-08,24.7
2023-06-07,24.7
2023-06-06,26.2
2023-06-05,26.7
2023-06-04,28.5
2023-06-03,29.1
2023-06-02,25.4
2023-06-01,26.3
2023-07-31,35.2
2023-07-30,35.5
2023-07-29,34.8
2023-07-28,35.3
2023-07-27,33.4
2023-07-26,31.2
2023-07-25,32.4
2023-07-24,31.8
2023-07-23,26.0
2023-07-22,32.1
2023-07-21,34.1
2023-07-20,33.9
2023-07-19,33.4
2023-07-18,26.6
2023-07-17,28.8
2023-07-16,26.2
2023-07-15,26.7
2023-07-14,25.4
2023-07-13,26.4
2023-07-12,29.2
2023-07-11,26.2
2023-07-10,31.7
2023-07-09,27.3
2023-07-08,29.1
2023-07-07,31.0
2023-07-06,32.8
2023-07-05,28.1
2023-07-04,29.5
2023-07-03,34.3
2023-07-02,31.2
2023-07-01,34.7
2023-08-31,28.8
2023-08-30,24.2
2023-08-29,26.3
2023-08-28,24.7
2023-08-27,28.8
2023-08-26,31.4
2023-08-25,31.5
2023-08-24,27.4
2023-08-23,28.2
2023-08-22,33.0
2023-08-21,33.7
2023-08-20,33.6
2023-08-19,34.7
2023-08-18,34.7
2023-08-17,33.6
2023-08-16,32.7
2023-08-15,33.7
2023-08-14,33.3
2023-08-13,30.8
2023-08-12,25.2
2023-08-11,26.5
2023-08-10,24.0
2023-08-09,30.7
2023-08-08,35.1
2023-08-07,34.9
2023-08-06,34.5
2023-08-05,35.9
2023-08-04,35.1
2023-08-03,34.7
2023-08-02,34.6
2023-08-01,34.7
