날짜,최고기온
2023-03-31,22.8
2023-03-30,21.1
2023-03-29,18.8
2023-03-28,13.8
2023-03-27,12.5
2023-03-26,13.3
2023-03-25,15.7
2023-03-24,16.6
2023-03-23,22.3
2023-03-22,24.1
2023-03-21,20.3
2023-03-20,16.0
2023-03-19,14.0
2023-03-18,13.6
2023-03-17,12.0
2023-03-16,8.1
2023-03-15,13.8
2023-03-14,14.2
2023-03-13,6.0
2023-03-12,11.1
2023-03-11,22.0
2023-03-10,21.0
2023-03-09,12.6
2023-03-08,18.1
2023-03-07,17.6
2023-03-06,14.8
2023-03-05,14.2
2023-03-04,13.3
2023-03-03,9.7
2023-03-02,5.7
2023-03-01,8.5
2023-04-30,17.4
2023-04-29,15.0
2023-04-28,21.1
2023-04-27,19.9
2023-04-26,11.5
2023-04-25,12.3
2023-04-24,19.2
2023-04-23,20.8
2023-04-22,21.3
2023-04-21,21.9
2023-04-20,17.3
2023-04-19,27.4
2023-04-18,16.3
2023-04-17,18.2
2023-04-16,15.6
2023-04-15,15.6
2023-04-14,21.1
2023-04-13,17.3
2023-04-12,14.3
2023-04-11,17.0
2023-04-10,18.0
2023-04-09,16.0
2023-04-08,13.8
2023-04-07,13.6
2023-04-06,8.8
2023-04-05,14.4
2023-04-04,21.4
2023-04-03,24.9
2023-04-02,24.4
2023-04-01,24.3
2023-05-31,27.0
2023-05-30,26.7
2023-05-29,27.9
2023-05-28,19.5
2023-05-27,19.5
2023-05-26,25.9
2023-05-25,26.0
2023-05-24,24.0
2023-05-23,26.3
2023-05-22,25.3
2023-05-21,19.2
2023-05-20,24.8
2023-05-19,27.0
2023-05-18,25.5
2023-05-17,27.4
2023-05-16,30.5
2023-05-15,26.9
2023-05-14,22.3
2023-05-13,22.8
2023-05-12,24.4
2023-05-11,25.2
2023-05-10,26.0
2023-05-09,21.9
2023-05-08,20.6
2023-05-07,17.3
2023-05-06,15.2
2023-05-05,20.5
2023-05-04,25.1
2023-05-03,25.0
2023-05-02,23.1
2023-05-01,20.1
2023-06-30,27.9
2023-06-29,24.4
2023-06-28,28.2
2023-06-27,28.5
2023-06-26,25.7
2023-06-25,31.9
2023-06-24,30.6
2023-06-23,28.3
2023-06-22,26.1
2023-06-21,20.9
2023-06-20,24.7
2023-06-19,33.1
2023-06-18,31.9
2023-06-17,30.1
2023-06-16,28.7
2023-06-15,27.0
2023-06-14,24.5
2023-06-13,24.5
2023-06-12,26.7
2023-06-11,27.0
2023-06-10,27.1
2023-06-09,27.7
2023-06-08,23.2
2023-06-07,24.3
2023-06-06,24.1
2023-06-05,24.2
2023-06-04,26.4
2023-06-03,26.6
2023-06-02,24.6
2023-06-01,25.6
2023-07-31,33.2
2023-07-30,34.6
2023-07-29,33.2
2023-07-28,33.1
2023-07-27,33.1
2023-07-26,30.6
2023-07-25,29.9
2023-07-24,29.4
2023-07-23,24.5
2023-07-22,30.7
2023-07-21,33.7
2023-07-20,30.6
2023-07-19,31.8
2023-07-18,27.2
2023-07-17,27.1
2023-07-16,25.0
2023-07-15,24.5
2023-07-14,24.3
2023-07-13,25.5
2023-07-12,28.9
2023-07-11,24.3
2023-07-10,30.3
2023-07-09,27.0
2023-07-08,29.1
2023-07-07,30.9
2023-07-06,30.7
2023-07-05,24.9
2023-07-04,28.0
2023-07-03,33.4
2023-07-02,30.8
2023-07-01,31.3
2023-08-31,28.0
2023-08-30,24.5
2023-08-29,26.1
2023-08-28,26.0
2023-08-27,28.5
2023-08-26,30.1
2023-08-25,28.4
2023-08-24,27.7
2023-08-23,26.8
2023-08-22,30.5
2023-08-21,31.6
2023-08-20,31.7
2023-08-19,32.2
2023-08-18,32.0
2023-08-17,31.7
2023-08-16,31.4
2023-08-15,32.2
2023-08-14,31.6
2023-08-13,31.1
2023-08-12,25.1
2023-08-11,25.2
2023-08-10,23.6
2023-08-09,30.0
2023-08-08,35.4
2023-08-07,35.0
2023-08-06,33.5
2023-08-05,33.8
2023-08-04,33.0
2023-08-03,32.6
2023-08-02,32.3
2023-08-01,33.9
