날짜,최고기온
2023-03-31,23.2
2023-03-30,21.1
2023-03-29,19.5
2023-03-28,15.6
2023-03-27,13.9
2023-03-26,14.7
2023-03-25,18.3
2023-03-24,17.4
2023-03-23,22.9
2023-03-22,25.2
2023-03-21,21.2
2023-03-20,17.0
2023-03-19,15.1
2023-03-18,15.2
2023-03-17,12.5
2023-03-16,9.3
2023-03-15,14.1
2023-03-14,15.0
2023-03-13,7.2
2023-03-12,11.2
2023-03-11,22.6
2023-03-10,21.7
2023-03-09,13.4
2023-03-08,17.0
2023-03-07,17.6
2023-03-06,15.8
2023-03-05,15.8
2023-03-04,14.6
2023-03-03,9.7
2023-03-02,6.7
2023-03-01,9.4
2023-04-30,18.2
2023-04-29,15.6
2023-04-28,21.9
2023-04-27,19.7
2023-04-26,13.2
2023-04-25,13.7
2023-04-24,20.4
2023-04-23,23.2
2023-04-22,22.6
2023-04-21,23.2
2023-04-20,18.2
2023-04-19,28.5
2023-04-18,19.4
2023-04-17,18.8
2023-04-16,16.8
2023-04-15,16.9
2023-04-14,21.7
2023-04-13,17.7
2023-04-12,15.4
2023-04-11,17.2
2023-04-10,18.8
2023-04-09,17.4
2023-04-08,15.3
2023-04-07,15.4
2023-04-06,9.9
2023-04-05,15.0
2023-04-04,22.1
2023-04-03,25.7
2023-04-02,25.0
2023-04-01,26.5
2023-05-31,27.8
2023-05-30,28.9
2023-05-29,28.5
2023-05-28,20.0
2023-05-27,21.2
2023-05-26,26.9
2023-05-25,27.1
2023-05-24,25.0
2023-05-23,26.8
2023-05-22,26.6
2023-05-21,21.0
2023-05-20,26.1
2023-05-19,28.0
2023-05-18,25.5
2023-05-17,28.1
2023-05-16,30.4
2023-05-15,27.8
2023-05-14,23.6
2023-05-13,24.0
2023-05-12,24.9
2023-05-11,26.5
2023-05-10,26.3
2023-05-09,23.7
2023-05-08,22.5
2023-05-07,18.9
2023-05-06,16.8
2023-05-05,22.1
2023-05-04,25.9
2023-05-03,26.3
2023-05-02,23.9
2023-05-01,21.0
2023-06-30,28.3
2023-06-29,24.9
2023-06-28,28.9
2023-06-27,29.2
2023-06-26,26.6
2023-06-25,32.5
2023-06-24,31.1
2023-06-23,28.9
2023-06-22,26.3
2023-06-21,23.1
2023-06-20,25.8
2023-06-19,34.2
2023-06-18,32.3
2023-06-17,31.2
2023-06-16,29.5
2023-06-15,27.8
2023-06-14,25.7
2023-06-13,26.4
2023-06-12,27.9
2023-06-11,27.5
2023-06-10,28.8
2023-06-09,27.8
2023-06-08,23.6
2023-06-07,24.8
2023-06-06,25.4
2023-06-05,26.0
2023-06-04,28.0
2023-06-03,28.1
2023-06-02,25.4
2023-06-01,26.2
2023-07-31,35.1
2023-07-30,35.5
2023-07-29,34.8
2023-07-28,35.0
2023-07-27,34.3
2023-07-26,31.8
2023-07-25,30.4
2023-07-24,29.5
2023-07-23,25.6
2023-07-22,31.7
2023-07-21,34.7
2023-07-20,32.2
2023-07-19,33.2
2023-07-18,27.7
2023-07-17,27.7
2023-07-16,25.6
2023-07-15,25.3
2023-07-14,24.9
2023-07-13,26.2
2023-07-12,29.3
2023-07-11,25.5
2023-07-10,31.2
2023-07-09,26.8
2023-07-08,29.1
2023-07-07,30.8
2023-07-06,31.6
2023-07-05,26.8
2023-07-04,28.4
2023-07-03,33.8
2023-07-02,30.1
2023-07-01,32.6
2023-08-31,29.5
2023-08-30,25.0
2023-08-29,26.9
2023-08-28,26.9
2023-08-27,30.0
2023-08-26,31.6
2023-08-25,30.3
2023-08-24,29.7
2023-08-23,25.8
2023-08-22,30.7
2023-08-21,32.8
2023-08-20,32.9
2023-08-19,34.2
2023-08-18,33.8
2023-08-17,33.2
2023-08-16,32.3
2023-08-15,33.8
2023-08-14,33.5
2023-08-13,31.4
2023-08-12,25.8
2023-08-11,25.6
2023-08-10,26.2
2023-08-09,32.5
2023-08-08,35.9
2023-08-07,35.4
2023-08-06,34.7
2023-08-05,36.0
2023-08-04,35.0
2023-08-03,34.2
2023-08-02,34.4
2023-08-01,34.6
