날짜,최고기온
2023-03-31,23.6
2023-03-30,21.2
2023-03-29,20.2
2023-03-28,15.6
2023-03-27,14.2
2023-03-26,14.9
2023-03-25,18.5
2023-03-24,18.5
2023-03-23,24.0
2023-03-22,25.2
2023-03-21,21.3
2023-03-20,17.1
2023-03-19,15.0
2023-03-18,14.4
2023-03-17,12.8
2023-03-16,9.9
2023-03-15,15.5
2023-03-14,15.7
2023-03-13,7.4
2023-03-12,13.8
2023-03-11,23.2
2023-03-10,22.4
2023-03-09,13.4
2023-03-08,18.2
2023-03-07,18.9
2023-03-06,15.8
2023-03-05,15.5
2023-03-04,13.9
2023-03-03,10.3
2023-03-02,6.6
2023-03-01,9.6
2023-04-30,18.9
2023-04-29,15.7
2023-04-28,21.7
2023-04-27,20.6
2023-04-26,14.0
2023-04-25,13.5
2023-04-24,20.9
2023-04-23,22.1
2023-04-22,22.1
2023-04-21,23.2
2023-04-20,19.6
2023-04-19,28.5
2023-04-18,18.4
2023-04-17,18.6
2023-04-16,16.2
2023-04-15,16.8
2023-04-14,22.0
2023-04-13,18.1
2023-04-12,15.5
2023-04-11,18.0
2023-04-10,19.5
2023-04-09,18.4
2023-04-08,15.0
2023-04-07,16.1
2023-04-06,10.3
2023-04-05,15.2
2023-04-04,21.8
2023-04-03,25.7
2023-04-02,24.3
2023-04-01,24.9
2023-05-31,28.8
2023-05-30,28.6
2023-05-29,29.1
2023-05-28,20.5
2023-05-27,21.6
2023-05-26,27.7
2023-05-25,27.7
2023-05-24,26.6
2023-05-23,26.7
2023-05-22,26.1
2023-05-21,22.5
2023-05-20,27.1
2023-05-19,27.2
2023-05-18,27.2
2023-05-17,30.1
2023-05-16,32.2
2023-05-15,28.5
2023-05-14,23.7
2023-05-13,24.5
2023-05-12,25.9
2023-05-11,27.3
2023-05-10,26.4
2023-05-09,24.6
2023-05-08,23.0
2023-05-07,18.1
2023-05-06,15.8
2023-05-05,21.5
2023-05-04,25.8
2023-05-03,26.4
2023-05-02,24.3
2023-05-01,20.8
2023-06-30,30.6
2023-06-29,26.1
2023-06-28,31.7
2023-06-27,30.5
2023-06-26,27.7
2023-06-25,33.2
2023-06-24,32.4
2023-06-23,30.1
2023-06-22,26.6
2023-06-21,22.3
2023-06-20,27.2
2023-06-19,34.3
2023-06-18,33.7
2023-06-17,31.5
2023-06-16,30.5
2023-06-15,29.2
2023-06-14,25.9
2023-06-13,27.4
2023-06-12,28.6
2023-06-11,27.5
2023-06-10,28.9
2023-06-09,29.1
2023-06-08,25.1
2023-06-07,25.6
2023-06-06,26.1
2023-06-05,27.3
2023-06-04,28.4
2023-06-03,28.3
2023-06-02,25.6
2023-06-01,26.5
2023-07-31,34.9
2023-07-30,35.8
2023-07-29,35.4
2023-07-28,35.4
2023-07-27,34.4
2023-07-26,30.7
2023-07-25,33.0
2023-07-24,32.2
2023-07-23,26.3
2023-07-22,33.0
2023-07-21,35.8
2023-07-20,34.4
2023-07-19,33.9
2023-07-18,27.6
2023-07-17,30.2
2023-07-16,26.7
2023-07-15,27.0
2023-07-14,25.9
2023-07-13,26.7
2023-07-12,29.8
2023-07-11,26.5
2023-07-10,32.8
2023-07-09,27.6
2023-07-08,30.1
2023-07-07,32.6
2023-07-06,33.7
2023-07-05,28.5
2023-07-04,30.5
2023-07-03,35.5
2023-07-02,31.7
2023-07-01,35.1
2023-08-31,29.1
2023-08-30,25.1
2023-08-29,26.7
2023-08-28,25.2
2023-08-27,29.4
2023-08-26,31.9
2023-08-25,31.0
2023-08-24,27.7
2023-08-23,30.2
2023-08-22,33.1
2023-08-21,34.4
2023-08-20,33.6
2023-08-19,35.1
2023-08-18,34.3
2023-08-17,33.1
2023-08-16,33.5
2023-08-15,33.6
2023-08-14,34.5
2023-08-13,31.2
2023-08-12,25.3
2023-08-11,27.0
2023-08-10,24.7
2023-08-09,31.1
2023-08-08,36.0
2023-08-07,35.8
2023-08-06,35.4
2023-08-05,36.3
2023-08-04,34.9
2023-08-03,34.5
2023-08-02,34.9
2023-08-01,35.2
