날짜,최고기온
2023-03-31,23.8
2023-03-30,21.9
2023-03-29,20.3
2023-03-28,16.0
2023-03-27,14.4
2023-03-26,15.9
2023-03-25,19.0
2023-03-24,18.6
2023-03-23,24.3
2023-03-22,25.1
2023-03-21,21.5
2023-03-20,17.5
2023-03-19,15.6
2023-03-18,15.2
2023-03-17,12.8
2023-03-16,9.9
2023-03-15,15.6
2023-03-14,15.4
2023-03-13,7.8
2023-03-12,11.3
2023-03-11,22.5
2023-03-10,22.3
2023-03-09,13.1
2023-03-08,18.5
2023-03-07,18.8
2023-03-06,16.2
2023-03-05,15.7
2023-03-04,14.1
2023-03-03,10.1
2023-03-02,6.9
2023-03-01,10.2
2023-04-30,18.9
2023-04-29,15.4
2023-04-28,22.5
2023-04-27,21.2
2023-04-26,14.5
2023-04-25,12.9
2023-04-24,21.1
2023-04-23,22.5
2023-04-22,22.0
2023-04-21,23.5
2023-04-20,18.6
2023-04-19,28.4
2023-04-18,18.1
2023-04-17,18.7
2023-04-16,17.3
2023-04-15,17.1
2023-04-14,22.2
2023-04-13,18.0
2023-04-12,15.9
2023-04-11,17.6
2023-04-10,20.2
2023-04-09,18.5
2023-04-08,15.4
2023-04-07,16.7
2023-04-06,11.0
2023-04-05,14.6
2023-04-04,21.8
2023-04-03,25.6
2023-04-02,24.2
2023-04-01,25.4
2023-05-31,28.9
2023-05-30,28.6
2023-05-29,29.3
2023-05-28,20.8
2023-05-27,20.2
2023-05-26,27.8
2023-05-25,28.4
2023-05-24,26.7
2023-05-23,28.0
2023-05-22,26.6
2023-05-21,23.4
2023-05-20,28.2
2023-05-19,27.1
2023-05-18,27.3
2023-05-17,30.2
2023-05-16,32.4
2023-05-15,28.3
2023-05-14,24.7
2023-05-13,25.1
2023-05-12,25.6
2023-05-11,27.8
2023-05-10,26.3
2023-05-09,25.8
2023-05-08,23.6
2023-05-07,18.0
2023-05-06,15.0
2023-05-05,21.0
2023-05-04,25.6
2023-05-03,26.7
2023-05-02,24.3
2023-05-01,21.5
2023-06-30,30.1
2023-06-29,25.7
2023-06-28,30.8
2023-06-27,30.5
2023-06-26,26.9
2023-06-25,32.9
2023-06-24,32.1
2023-06-23,29.7
2023-06-22,27.4
2023-06-21,21.7
2023-06-20,25.9
2023-06-19,33.2
2023-06-18,33.4
2023-06-17,31.9
2023-06-16,30.7
2023-06-15,29.1
2023-06-14,26.3
2023-06-13,27.3
2023-06-12,27.8
2023-06-11,27.3
2023-06-10,28.3
2023-06-09,29.0
2023-06-08,24.7
2023-06-07,24.9
2023-06-06,26.6
2023-06-05,27.1
2023-06-04,29.2
2023-06-03,29.1
2023-06-02,26.2
2023-06-01,25.6
2023-07-31,34.0
2023-07-30,35.7
2023-07-29,34.9
2023-07-28,35.1
2023-07-27,33.2
2023-07-26,30.1
2023-07-25,32.3
2023-07-24,31.2
2023-07-23,25.9
2023-07-22,31.9
2023-07-21,34.2
2023-07-20,33.4
2023-07-19,33.2
2023-07-18,27.2
2023-07-17,28.9
2023-07-16,25.9
2023-07-15,26.1
2023-07-14,25.2
2023-07-13,26.0
2023-07-12,29.7
2023-07-11,25.8
2023-07-10,32.4
2023-07-09,26.5
2023-07-08,29.8
2023-07-07,31.0
2023-07-06,33.5
2023-07-05,29.0
2023-07-04,29.2
2023-07-03,34.2
2023-07-02,31.3
2023-07-01,34.5
2023-08-31,28.2
2023-08-30,24.2
2023-08-29,25.8
2023-08-28,24.2
2023-08-27,28.6
2023-08-26,32.1
2023-08-25,31.5
2023-08-24,27.3
2023-08-23,28.0
2023-08-22,32.4
2023-08-21,33.4
2023-08-20,33.4
2023-08-19,35.1
2023-08-18,34.7
2023-08-17,32.5
2023-08-16,33.1
2023-08-15,33.3
2023-08-14,33.8
2023-08-13,30.5
2023-08-12,25.1
2023-08-11,25.7
2023-08-10,23.9
2023-08-09,31.4
2023-08-08,35.8
2023-08-07,35.7
2023-08-06,34.1
2023-08-05,36.0
2023-08-04,35.8
2023-08-03,34.9
2023-08-02,34.9
2023-08-01,33.8
