날짜,최고기온
2023-03-31,25.0
2023-03-30,21.8
2023-03-29,21.0
2023-03-28,16.1
2023-03-27,15.6
2023-03-26,15.5
2023-03-25,19.0
2023-03-24,20.0
2023-03-23,26.7
2023-03-22,25.8
2023-03-21,23.9
2023-03-20,17.7
2023-03-19,16.2
2023-03-18,15.8
2023-03-17,13.9
2023-03-16,11.1
2023-03-15,15.5
2023-03-14,16.3
2023-03-13,8.2
2023-03-12,11.0
2023-03-11,23.0
2023-03-10,23.0
2023-03-09,14.8
2023-03-08,17.0
2023-03-07,20.6
2023-03-06,16.8
2023-03-05,16.0
2023-03-04,16.2
2023-03-03,10.9
2023-03-02,7.4
2023-03-01,10.1
2023-04-30,17.1
2023-04-29,16.4
2023-04-28,20.9
2023-04-27,20.3
2023-04-26,13.5
2023-04-25,13.0
2023-04-24,21.0
2023-04-23,22.4
2023-04-22,23.1
2023-04-21,24.0
2023-04-20,19.2
2023-04-19,29.3
2023-04-18,19.8
2023-04-17,18.6
2023-04-16,16.5
2023-04-15,17.7
2023-04-14,22.7
2023-04-13,18.1
2023-04-12,16.3
2023-04-11,17.7
2023-04-10,19.6
2023-04-09,18.4
2023-04-08,15.2
2023-04-07,15.8
2023-04-06,11.3
2023-04-05,15.4
2023-04-04,21.5
2023-04-03,27.2
2023-04-02,26.4
2023-04-01,26.4
2023-05-31,26.5
2023-05-30,26.6
2023-05-29,27.3
2023-05-28,20.6
2023-05-27,20.4
2023-05-26,25.8
2023-05-25,25.9
2023-05-24,24.8
2023-05-23,25.3
2023-05-22,24.9
2023-05-21,21.9
2023-05-20,25.6
2023-05-19,26.3
2023-05-18,26.0
2023-05-17,27.8
2023-05-16,30.2
2023-05-15,27.0
2023-05-14,22.7
2023-05-13,23.1
2023-05-12,23.4
2023-05-11,25.5
2023-05-10,24.6
2023-05-09,24.0
2023-05-08,21.5
2023-05-07,17.6
2023-05-06,15.3
2023-05-05,22.0
2023-05-04,24.9
2023-05-03,25.1
2023-05-02,22.9
2023-05-01,20.3
2023-06-30,28.8
2023-06-29,26.3
2023-06-28,29.4
2023-06-27,28.3
2023-06-26,27.7
2023-06-25,30.5
2023-06-24,30.1
2023-06-23,28.2
2023-06-22,25.4
2023-06-21,21.9
2023-06-20,26.4
2023-06-19,32.0
2023-06-18,31.4
2023-06-17,29.3
2023-06-16,28.1
2023-06-15,27.2
2023-06-14,24.4
2023-06-13,25.2
2023-06-12,25.6
2023-06-11,25.8
2023-06-10,26.2
2023-06-09,26.0
2023-06-08,23.6
2023-06-07,24.9
2023-06-06,24.7
2023-06-05,25.5
2023-06-04,26.6
2023-06-03,26.6
2023-06-02,24.3
2023-06-01,25.5
2023-07-31,31.5
2023-07-30,33.2
2023-07-29,31.9
2023-07-28,32.3
2023-07-27,31.2
2023-07-26,29.4
2023-07-25,30.1
2023-07-24,29.4
2023-07-23,25.7
2023-07-22,30.6
2023-07-21,31.8
2023-07-20,31.4
2023-07-19,31.1
2023-07-18,26.0
2023-07-17,26.7
2023-07-16,25.5
2023-07-15,25.4
2023-07-14,25.6
2023-07-13,26.0
2023-07-12,28.4
2023-07-11,25.9
2023-07-10,29.6
2023-07-09,26.2
2023-07-08,28.5
2023-07-07,30.2
2023-07-06,31.1
2023-07-05,27.1
2023-07-04,28.5
2023-07-03,31.4
2023-07-02,29.6
2023-07-01,32.0
2023-08-31,28.2
2023-08-30,23.7
2023-08-29,24.9
2023-08-28,24.5
2023-08-27,28.0
2023-08-26,30.2
2023-08-25,29.3
2023-08-24,26.0
2023-08-23,26.8
2023-08-22,30.5
2023-08-21,31.7
2023-08-20,31.5
2023-08-19,32.9
2023-08-18,32.2
2023-08-17,30.3
2023-08-16,30.8
2023-08-15,30.7
2023-08-14,31.6
2023-08-13,28.5
2023-08-12,23.7
2023-08-11,24.4
2023-08-10,25.9
2023-08-09,29.5
2023-08-08,33.3
2023-08-07,32.5
2023-08-06,33.0
2023-08-05,33.9
2023-08-04,33.3
2023-08-03,32.4
2023-08-02,32.6
2023-08-01,33.4
