날짜,최고기온
2023-03-31,24.2
2023-03-30,22.0
2023-03-29,20.0
2023-03-28,16.1
2023-03-27,14.9
2023-03-26,15.3
2023-03-25,18.8
2023-03-24,18.6
2023-03-23,24.7
2023-03-22,25.4
2023-03-21,21.6
2023-03-20,17.1
2023-03-19,15.4
2023-03-18,14.6
2023-03-17,13.1
2023-03-16,10.2
2023-03-15,16.1
2023-03-14,16.1
2023-03-13,7.6
2023-03-12,13.5
2023-03-11,23.3
2023-03-10,22.4
2023-03-09,13.3
2023-03-08,18.1
2023-03-07,19.1
2023-03-06,15.9
2023-03-05,15.4
2023-03-04,14.1
2023-03-03,10.8
2023-03-02,7.0
2023-03-01,10.0
2023-04-30,18.9
2023-04-29,15.9
2023-04-28,22.0
2023-04-27,21.2
2023-04-26,14.8
2023-04-25,13.5
2023-04-24,22.0
2023-04-23,23.3
2023-04-22,22.8
2023-04-21,23.1
2023-04-20,19.4
2023-04-19,28.4
2023-04-18,18.6
2023-04-17,18.9
2023-04-16,16.6
2023-04-15,16.9
2023-04-14,22.2
2023-04-13,18.0
2023-04-12,16.2
2023-04-11,18.2
2023-04-10,19.9
2023-04-09,18.0
2023-04-08,15.3
2023-04-07,15.9
2023-04-06,10.7
2023-04-05,15.5
2023-04-04,22.2
2023-04-03,25.7
2023-04-02,25.1
2023-04-01,25.8
2023-05-31,27.9
2023-05-30,29.4
2023-05-29,28.9
2023-05-28,20.6
2023-05-27,21.5
2023-05-26,28.1
2023-05-25,28.1
2023-05-24,27.1
2023-05-23,27.7
2023-05-22,26.5
2023-05-21,23.1
2023-05-20,27.6
2023-05-19,27.9
2023-05-18,27.6
2023-05-17,30.0
2023-05-16,32.2
2023-05-15,28.5
2023-05-14,24.4
2023-05-13,24.8
2023-05-12,25.3
2023-05-11,27.2
2023-05-10,26.1
2023-05-09,24.8
2023-05-08,22.6
2023-05-07,18.7
2023-05-06,15.5
2023-05-05,21.5
2023-05-04,26.2
2023-05-03,26.1
2023-05-02,24.4
2023-05-01,20.8
2023-06-30,30.3
2023-06-29,25.8
2023-06-28,30.4
2023-06-27,29.9
2023-06-26,27.6
2023-06-25,33.1
2023-06-24,32.2
2023-06-23,30.3
2023-06-22,27.1
2023-06-21,22.0
2023-06-20,26.9
2023-06-19,35.1
2023-06-18,34.0
2023-06-17,31.6
2023-06-16,30.2
2023-06-15,28.9
2023-06-14,26.9
2023-06-13,27.1
2023-06-12,28.3
2023-06-11,28.0
2023-06-10,29.3
2023-06-09,29.1
2023-06-08,24.9
2023-06-07,25.6
2023-06-06,26.5
2023-06-05,27.0
2023-06-04,28.6
2023-06-03,28.4
2023-06-02,25.7
2023-06-01,26.5
2023-07-31,33.9
2023-07-30,35.6
2023-07-29,34.3
2023-07-28,34.7
2023-07-27,33.5
2023-07-26,31.1
2023-07-25,31.8
2023-07-24,31.0
2023-07-23,26.4
2023-07-22,32.5
2023-07-21,34.5
2023-07-20,33.9
2023-07-19,33.0
2023-07-18,28.1
2023-07-17,29.1
2023-07-16,26.4
2023-07-15,26.7
2023-07-14,25.5
2023-07-13,26.6
2023-07-12,29.4
2023-07-11,26.1
2023-07-10,31.9
2023-07-09,27.7
2023-07-08,29.5
2023-07-07,31.6
2023-07-06,32.8
2023-07-05,27.8
2023-07-04,29.9
2023-07-03,35.2
2023-07-02,31.7
2023-07-01,34.0
2023-08-31,29.4
2023-08-30,24.6
2023-08-29,26.4
2023-08-28,25.6
2023-08-27,29.5
2023-08-26,31.1
2023-08-25,30.7
2023-08-24,28.0
2023-08-23,29.0
2023-08-22,33.4
2023-08-21,34.2
2023-08-20,33.2
2023-08-19,34.5
2023-08-18,34.3
2023-08-17,33.2
2023-08-16,32.7
2023-08-15,33.3
2023-08-14,33.9
2023-08-13,31.0
2023-08-12,24.6
2023-08-11,26.2
2023-08-10,24.8
2023-08-09,31.6
2023-08-08,37.0
2023-08-07,36.3
2023-08-06,35.1
2023-08-05,36.5
2023-08-04,35.5
2023-08-03,34.4
2023-08-02,34.3
2023-08-01,35.4
