날짜,최고기온
2023-03-31,24.4
2023-03-30,22.4
2023-03-29,20.4
2023-03-28,17.1
2023-03-27,15.0
2023-03-26,14.6
2023-03-25,20.0
2023-03-24,18.5
2023-03-23,25.1
2023-03-22,25.9
2023-03-21,21.8
2023-03-20,17.3
2023-03-19,16.1
2023-03-18,14.5
2023-03-17,13.2
2023-03-16,10.2
2023-03-15,15.6
2023-03-14,17.1
2023-03-13,8.3
2023-03-12,12.3
2023-03-11,24.1
2023-03-10,23.0
2023-03-09,13.0
2023-03-08,19.2
2023-03-07,19.6
2023-03-06,17.3
2023-03-05,15.9
2023-03-04,14.6
2023-03-03,11.6
2023-03-02,7.3
2023-03-01,10.0
2023-04-30,18.8
2023-04-29,15.3
2023-04-28,22.8
2023-04-27,21.1
2023-04-26,14.6
2023-04-25,13.4
2023-04-24,21.6
2023-04-23,23.2
2023-04-22,23.0
2023-04-21,23.9
2023-04-20,18.1
2023-04-19,29.4
2023-04-18,18.6
2023-04-17,19.2
2023-04-16,17.3
2023-04-15,17.6
2023-04-14,22.5
2023-04-13,18.6
2023-04-12,16.7
2023-04-11,17.5
2023-04-10,20.5
2023-04-09,19.4
2023-04-08,15.9
2023-04-07,16.6
2023-04-06,9.6
2023-04-05,14.7
2023-04-04,21.7
2023-04-03,26.0
2023-04-02,25.7
2023-04-01,26.3
2023-05-31,28.5
2023-05-30,29.0
2023-05-29,28.8
2023-05-28,20.1
2023-05-27,20.8
2023-05-26,28.1
2023-05-25,28.3
2023-05-24,26.2
2023-05-23,27.5
2023-05-22,26.6
2023-05-21,22.8
2023-05-20,27.7
2023-05-19,28.3
2023-05-18,27.0
2023-05-17,29.7
2023-05-16,31.8
2023-05-15,28.5
2023-05-14,24.9
2023-05-13,25.1
2023-05-12,25.4
2023-05-11,27.8
2023-05-10,27.3
2023-05-09,24.9
2023-05-08,23.2
2023-05-07,18.7
2023-05-06,15.1
2023-05-05,21.3
2023-05-04,26.7
2023-05-03,26.7
2023-05-02,24.9
2023-05-01,21.6
2023-06-30,30.6
2023-06-29,25.3
2023-06-28,31.0
2023-06-27,30.1
2023-06-26,27.3
2023-06-25,33.4
2023-06-24,32.4
2023-06-23,29.5
2023-06-22,27.9
2023-06-21,22.8
2023-06-20,26.0
2023-06-19,34.4
2023-06-18,33.4
2023-06-17,31.2
2023-06-16,29.9
2023-06-15,30.1
2023-06-14,27.3
2023-06-13,27.3
2023-06-12,28.7
2023-06-11,29.1
2023-06-10,29.2
2023-06-09,29.1
2023-06-08,23.9
2023-06-07,25.3
2023-06-06,26.5
2023-06-05,26.9
2023-06-04,28.9
2023-06-03,28.7
2023-06-02,26.3
2023-06-01,27.1
2023-07-31,34.9
2023-07-30,35.5
2023-07-29,35.0
2023-07-28,35.3
2023-07-27,33.5
2023-07-26,32.7
2023-07-25,31.7
2023-07-24,30.9
2023-07-23,25.9
2023-07-22,32.6
2023-07-21,34.8
2023-07-20,33.6
2023-07-19,33.1
2023-07-18,27.9
2023-07-17,28.9
2023-07-16,26.0
2023-07-15,25.7
2023-07-14,25.0
2023-07-13,26.4
2023-07-12,30.1
2023-07-11,26.0
2023-07-10,32.0
2023-07-09,27.7
2023-07-08,29.7
2023-07-07,31.9
2023-07-06,32.7
2023-07-05,28.2
2023-07-04,29.0
2023-07-03,34.6
2023-07-02,31.1
2023-07-01,33.7
2023-08-31,30.0
2023-08-30,26.1
2023-08-29,26.0
2023-08-28,25.6
2023-08-27,29.4
2023-08-26,31.2
2023-08-25,31.2
2023-08-24,28.9
2023-08-23,27.5
2023-08-22,32.4
2023-08-21,33.2
2023-08-20,32.9
2023-08-19,34.4
2023-08-18,34.3
2023-08-17,32.9
2023-08-16,32.8
2023-08-15,33.7
2023-08-14,34.1
2023-08-13,31.7
2023-08-12,24.6
2023-08-11,25.5
2023-08-10,24.9
2023-08-09,32.2
2023-08-08,35.9
2023-08-07,35.7
2023-08-06,34.6
2023-08-05,35.6
2023-08-04,34.7
2023-08-03,34.3
2023-08-02,34.3
2023-08-01,35.1
