날짜,최고기온
2023-03-31,23.9
2023-03-30,21.3
2023-03-29,20.2
2023-03-28,15.4
2023-03-27,14.2
2023-03-26,14.4
2023-03-25,18.4
2023-03-24,17.7
2023-03-23,23.6
2023-03-22,24.9
2023-03-21,21.2
2023-03-20,16.9
2023-03-19,15.3
2023-03-18,13.9
2023-03-17,13.6
2023-03-16,9.5
2023-03-15,17.1
2023-03-14,16.2
2023-03-13,8.1
2023-03-12,12.3
2023-03-11,24.4
2023-03-10,22.8
2023-03-09,13.9
2023-03-08,19.5
2023-03-07,19.4
2023-03-06,17.1
2023-03-05,15.5
2023-03-04,13.7
2023-03-03,10.9
2023-03-02,6.7
2023-03-01,9.6
2023-04-30,20.1
2023-04-29,16.0
2023-04-28,22.7
2023-04-27,21.3
2023-04-26,13.4
2023-04-25,13.7
2023-04-24,20.6
2023-04-23,22.0
2023-04-22,22.3
2023-04-21,23.0
2023-04-20,19.3
2023-04-19,28.9
2023-04-18,17.5
2023-04-17,19.1
2023-04-16,16.6
2023-04-15,17.4
2023-04-14,23.3
2023-04-13,18.4
2023-04-12,16.2
2023-04-11,18.8
2023-04-10,20.0
2023-04-09,18.6
2023-04-08,15.3
2023-04-07,16.6
2023-04-06,11.0
2023-04-05,15.3
2023-04-04,22.2
2023-04-03,25.4
2023-04-02,24.6
2023-04-01,25.3
2023-05-31,28.5
2023-05-30,29.3
2023-05-29,28.9
2023-05-28,20.9
2023-05-27,20.9
2023-05-26,27.7
2023-05-25,28.2
2023-05-24,26.3
2023-05-23,27.1
2023-05-22,25.9
2023-05-21,22.5
2023-05-20,27.0
2023-05-19,27.5
2023-05-18,26.5
2023-05-17,30.2
2023-05-16,32.7
2023-05-15,28.8
2023-05-14,24.4
2023-05-13,24.8
2023-05-12,25.1
2023-05-11,27.7
2023-05-10,26.7
2023-05-09,24.9
2023-05-08,22.9
2023-05-07,18.2
2023-05-06,15.3
2023-05-05,21.3
2023-05-04,26.3
2023-05-03,26.7
2023-05-02,24.7
2023-05-01,21.2
2023-06-30,29.2
2023-06-29,25.8
2023-06-28,30.5
2023-06-27,30.3
2023-06-26,26.7
2023-06-25,32.5
2023-06-24,31.8
2023-06-23,30.5
2023-06-22,27.6
2023-06-21,22.4
2023-06-20,26.0
2023-06-19,34.1
2023-06-18,33.3
2023-06-17,31.1
2023-06-16,29.9
2023-06-15,28.6
2023-06-14,27.3
2023-06-13,27.5
2023-06-12,28.5
2023-06-11,28.1
2023-06-10,28.9
2023-06-09,28.8
2023-06-08,24.9
2023-06-07,26.0
2023-06-06,26.2
2023-06-05,26.3
2023-06-04,28.6
2023-06-03,28.4
2023-06-02,25.0
2023-06-01,27.3
2023-07-31,34.6
2023-07-30,35.6
2023-07-29,35.1
2023-07-28,35.3
2023-07-27,33.7
2023-07-26,33.0
2023-07-25,32.4
2023-07-24,31.8
2023-07-23,26.9
2023-07-22,32.1
2023-07-21,35.1
2023-07-20,33.3
2023-07-19,33.0
2023-07-18,27.7
2023-07-17,29.3
2023-07-16,26.7
2023-07-15,26.9
2023-07-14,25.4
2023-07-13,26.6
2023-07-12,29.9
2023-07-11,25.8
2023-07-10,32.1
2023-07-09,28.5
2023-07-08,29.5
2023-07-07,31.1
2023-07-06,33.2
2023-07-05,28.1
2023-07-04,29.4
2023-07-03,34.1
2023-07-02,31.4
2023-07-01,33.7
2023-08-31,29.5
2023-08-30,25.8
2023-08-29,26.5
2023-08-28,26.3
2023-08-27,29.6
2023-08-26,30.5
2023-08-25,31.0
2023-08-24,28.7
2023-08-23,29.4
2023-08-22,32.6
2023-08-21,33.3
2023-08-20,32.9
2023-08-19,34.6
2023-08-18,35.3
2023-08-17,33.4
2023-08-16,33.2
2023-08-15,33.5
2023-08-14,34.3
2023-08-13,32.0
2023-08-12,24.8
2023-08-11,26.3
2023-08-10,24.2
2023-08-09,31.5
2023-08-08,36.0
2023-08-07,35.8
2023-08-06,35.4
2023-08-05,35.5
2023-08-04,35.7
2023-08-03,35.1
2023-08-02,35.7
2023-08-01,36.0
