날짜,최고기온
2023-03-31,22.3
2023-03-30,20.0
2023-03-29,18.2
2023-03-28,14.3
2023-03-27,12.9
2023-03-26,13.5
2023-03-25,16.8
2023-03-24,17.8
2023-03-23,23.2
2023-03-22,23.4
2023-03-21,20.8
2023-03-20,15.6
2023-03-19,13.9
2023-03-18,13.0
2023-03-17,12.1
2023-03-16,8.7
2023-03-15,13.7
2023-03-14,13.8
2023-03-13,6.2
2023-03-12,12.1
2023-03-11,21.5
2023-03-10,20.9
2023-03-09,12.7
2023-03-08,16.4
2023-03-07,17.5
2023-03-06,14.7
2023-03-05,13.7
2023-03-04,12.8
2023-03-03,8.6
2023-03-02,6.0
2023-03-01,8.5
2023-04-30,17.2
2023-04-29,15.1
2023-04-28,20.3
2023-04-27,19.6
2023-04-26,12.4
2023-04-25,12.3
2023-04-24,19.3
2023-04-23,21.8
2023-04-22,21.2
2023-04-21,21.9
2023-04-20,18.2
2023-04-19,27.4
2023-04-18,17.4
2023-04-17,17.6
2023-04-16,14.9
2023-04-15,15.5
2023-04-14,20.7
2023-04-13,16.9
2023-04-12,14.6
2023-04-11,16.8
2023-04-10,18.0
2023-04-09,16.9
2023-04-08,13.9
2023-04-07,14.3
2023-04-06,9.3
2023-04-05,14.2
2023-04-04,20.6
2023-04-03,24.7
2023-04-02,23.7
2023-04-01,24.6
2023-05-31,27.2
2023-05-30,27.6
2023-05-29,28.8
2023-05-28,19.9
2023-05-27,20.0
2023-05-26,25.9
2023-05-25,26.5
2023-05-24,25.1
2023-05-23,26.0
2023-05-22,25.4
2023-05-21,21.0
2023-05-20,25.2
2023-05-19,26.6
2023-05-18,26.8
2023-05-17,28.0
2023-05-16,30.4
2023-05-15,27.1
2023-05-14,22.8
2023-05-13,22.9
2023-05-12,23.8
2023-05-11,25.5
2023-05-10,24.9
2023-05-09,23.8
2023-05-08,21.4
2023-05-07,17.8
2023-05-06,14.2
2023-05-05,21.0
2023-05-04,25.0
2023-05-03,25.1
2023-05-02,23.5
2023-05-01,19.5
2023-06-30,29.1
2023-06-29,25.5
2023-06-28,29.7
2023-06-27,28.6
2023-06-26,27.7
2023-06-25,32.4
2023-06-24,31.7
2023-06-23,29.4
2023-06-22,26.1
2023-06-21,21.4
2023-06-20,26.2
2023-06-19,33.7
2023-06-18,32.9
2023-06-17,30.0
2023-06-16,28.6
2023-06-15,27.9
2023-06-14,25.4
2023-06-13,25.3
2023-06-12,27.4
2023-06-11,27.1
2023-06-10,27.7
2023-06-09,27.9
2023-06-08,23.6
2023-06-07,24.6
2023-06-06,24.8
2023-06-05,24.9
2023-06-04,27.1
2023-06-03,27.1
2023-06-02,24.2
2023-06-01,26.2
2023-07-31,33.7
2023-07-30,35.5
2023-07-29,33.0
2023-07-28,34.2
2023-07-27,33.1
2023-07-26,30.8
2023-07-25,30.1
2023-07-24,30.4
2023-07-23,25.3
2023-07-22,31.2
2023-07-21,34.7
2023-07-20,32.7
2023-07-19,32.8
2023-07-18,27.0
2023-07-17,27.4
2023-07-16,25.1
2023-07-15,24.9
2023-07-14,24.7
2023-07-13,26.0
2023-07-12,29.5
2023-07-11,25.2
2023-07-10,31.2
2023-07-09,25.9
2023-07-08,28.8
2023-07-07,31.4
2023-07-06,31.8
2023-07-05,27.1
2023-07-04,28.8
2023-07-03,34.4
2023-07-02,30.6
2023-07-01,32.8
2023-08-31,28.5
2023-08-30,24.3
2023-08-29,25.2
2023-08-28,24.6
2023-08-27,28.9
2023-08-26,30.2
2023-08-25,29.8
2023-08-24,26.6
2023-08-23,27.0
2023-08-22,31.4
2023-08-21,32.9
2023-08-20,31.7
2023-08-19,34.3
2023-08-18,34.1
2023-08-17,32.5
2023-08-16,32.4
2023-08-15,31.7
2023-08-14,33.6
2023-08-13,30.9
2023-08-12,23.9
2023-08-11,25.1
2023-08-10,24.1
2023-08-09,30.1
2023-08-08,35.3
2023-08-07,35.1
2023-08-06,30.7
2023-08-05,35.2
2023-08-04,34.8
2023-08-03,33.1
2023-08-02,33.9
2023-08-01,35.1
