날짜,최고기온
2023-03-31,23.7
2023-03-30,21.2
2023-03-29,20.0
2023-03-28,15.3
2023-03-27,14.3
2023-03-26,14.7
2023-03-25,19.1
2023-03-24,18.2
2023-03-23,24.1
2023-03-22,25.1
2023-03-21,21.6
2023-03-20,16.6
2023-03-19,15.4
2023-03-18,14.6
2023-03-17,13.0
2023-03-16,9.8
2023-03-15,16.3
2023-03-14,15.5
2023-03-13,8.0
2023-03-12,13.7
2023-03-11,23.6
2023-03-10,23.1
2023-03-09,14.6
2023-03-08,19.6
2023-03-07,19.8
2023-03-06,17.0
2023-03-05,15.0
2023-03-04,13.9
2023-03-03,10.8
2023-03-02,6.7
2023-03-01,9.1
2023-04-30,20.1
2023-04-29,16.2
2023-04-28,22.0
2023-04-27,20.9
2023-04-26,13.7
2023-04-25,13.5
2023-04-24,21.5
2023-04-23,22.1
2023-04-22,22.2
2023-04-21,23.1
2023-04-20,19.5
2023-04-19,28.9
2023-04-18,18.2
2023-04-17,19.1
2023-04-16,16.7
2023-04-15,17.8
2023-04-14,22.0
2023-04-13,18.4
2023-04-12,16.4
2023-04-11,18.7
2023-04-10,19.7
2023-04-09,19.4
2023-04-08,15.5
2023-04-07,16.2
2023-04-06,11.0
2023-04-05,15.8
2023-04-04,21.9
2023-04-03,25.6
2023-04-02,25.3
2023-04-01,26.1
2023-05-31,28.7
2023-05-30,28.5
2023-05-29,28.7
2023-05-28,21.0
2023-05-27,22.1
2023-05-26,28.0
2023-05-25,28.2
2023-05-24,26.3
2023-05-23,26.6
2023-05-22,26.2
2023-05-21,22.9
2023-05-20,27.3
2023-05-19,27.5
2023-05-18,26.5
2023-05-17,29.7
2023-05-16,32.5
2023-05-15,28.6
2023-05-14,24.4
2023-05-13,23.7
2023-05-12,25.3
2023-05-11,27.7
2023-05-10,26.8
2023-05-09,25.5
2023-05-08,23.2
2023-05-07,18.5
2023-05-06,15.9
2023-05-05,21.8
2023-05-04,26.4
2023-05-03,26.4
2023-05-02,24.8
2023-05-01,21.1
2023-06-30,30.8
2023-06-29,26.4
2023-06-28,31.3
2023-06-27,31.0
2023-06-26,27.9
2023-06-25,33.3
2023-06-24,32.8
2023-06-23,30.3
2023-06-22,27.0
2023-06-21,22.2
2023-06-20,27.1
2023-06-19,34.8
2023-06-18,33.2
2023-06-17,31.6
2023-06-16,29.4
2023-06-15,28.4
2023-06-14,26.4
2023-06-13,28.0
2023-06-12,27.6
2023-06-11,27.5
2023-06-10,29.7
2023-06-09,29.3
2023-06-08,25.1
2023-06-07,26.1
2023-06-06,26.2
2023-06-05,27.1
2023-06-04,28.7
2023-06-03,28.4
2023-06-02,25.9
2023-06-01,27.6
2023-07-31,34.8
2023-07-30,36.6
2023-07-29,35.5
2023-07-28,35.9
2023-07-27,34.2
2023-07-26,32.2
2023-07-25,32.4
2023-07-24,32.3
2023-07-23,26.3
2023-07-22,33.5
2023-07-21,36.2
2023-07-20,34.4
2023-07-19,33.6
2023-07-18,27.7
2023-07-17,29.2
2023-07-16,26.9
2023-07-15,26.7
2023-07-14,26.3
2023-07-13,27.5
2023-07-12,29.7
2023-07-11,26.9
2023-07-10,32.6
2023-07-09,28.6
2023-07-08,30.7
2023-07-07,32.0
2023-07-06,33.6
2023-07-05,28.2
2023-07-04,30.5
2023-07-03,35.9
2023-07-02,32.0
2023-07-01,35.2
2023-08-31,29.6
2023-08-30,25.9
2023-08-29,27.5
2023-08-28,26.8
2023-08-27,30.0
2023-08-26,31.1
2023-08-25,30.5
2023-08-24,28.3
2023-08-23,29.5
2023-08-22,33.8
2023-08-21,34.8
2023-08-20,34.2
2023-08-19,35.4
2023-08-18,36.0
2023-08-17,34.5
2023-08-16,33.2
2023-08-15,34.4
2023-08-14,34.1
2023-08-13,32.3
2023-08-12,25.5
2023-08-11,27.4
2023-08-10,25.1
2023-08-09,31.8
2023-08-08,36.6
2023-08-07,36.0
2023-08-06,35.4
2023-08-05,36.4
2023-08-04,35.9
2023-08-03,34.9
2023-08-02,35.4
2023-08-01,37.2
