날짜,최고기온
2023-03-31,22.8
2023-03-30,21.1
2023-03-29,19.7
2023-03-28,15.6
2023-03-27,13.5
2023-03-26,14.3
2023-03-25,18.5
2023-03-24,17.4
2023-03-23,23.0
2023-03-22,24.4
2023-03-21,20.6
2023-03-20,16.6
2023-03-19,14.9
2023-03-18,14.1
2023-03-17,12.6
2023-03-16,9.5
2023-03-15,15.4
2023-03-14,14.9
2023-03-13,7.3
2023-03-12,12.3
2023-03-11,22.7
2023-03-10,21.7
2023-03-09,13.6
2023-03-08,17.5
2023-03-07,17.6
2023-03-06,15.7
2023-03-05,15.1
2023-03-04,13.4
2023-03-03,10.1
2023-03-02,6.8
2023-03-01,9.5
2023-04-30,18.2
2023-04-29,15.6
2023-04-28,21.4
2023-04-27,20.0
2023-04-26,13.6
2023-04-25,13.8
2023-04-24,20.4
2023-04-23,21.9
2023-04-22,22.0
2023-04-21,23.1
2023-04-20,18.3
2023-04-19,28.1
2023-04-18,18.7
2023-04-17,18.8
2023-04-16,16.9
2023-04-15,16.6
2023-04-14,21.4
2023-04-13,17.7
2023-04-12,15.9
2023-04-11,17.4
2023-04-10,18.6
2023-04-09,18.2
2023-04-08,15.0
2023-04-07,15.4
2023-04-06,10.1
2023-04-05,15.0
2023-04-04,21.6
2023-04-03,25.3
2023-04-02,24.0
2023-04-01,25.0
2023-05-31,27.9
2023-05-30,28.8
2023-05-29,28.9
2023-05-28,20.1
2023-05-27,21.3
2023-05-26,27.0
2023-05-25,27.1
2023-05-24,25.3
2023-05-23,26.4
2023-05-22,25.3
2023-05-21,21.8
2023-05-20,26.2
2023-05-19,27.4
2023-05-18,25.4
2023-05-17,28.1
2023-05-16,30.5
2023-05-15,28.2
2023-05-14,23.7
2023-05-13,23.9
2023-05-12,25.1
2023-05-11,26.8
2023-05-10,26.4
2023-05-09,24.3
2023-05-08,22.1
2023-05-07,18.7
2023-05-06,16.0
2023-05-05,21.7
2023-05-04,26.2
2023-05-03,26.8
2023-05-02,24.1
2023-05-01,21.0
2023-06-30,29.5
2023-06-29,25.8
2023-06-28,30.1
2023-06-27,29.5
2023-06-26,27.8
2023-06-25,33.0
2023-06-24,31.7
2023-06-23,30.2
2023-06-22,27.3
2023-06-21,23.0
2023-06-20,26.8
2023-06-19,34.0
2023-06-18,32.7
2023-06-17,31.0
2023-06-16,29.3
2023-06-15,28.4
2023-06-14,25.6
2023-06-13,26.3
2023-06-12,28.2
2023-06-11,27.6
2023-06-10,28.7
2023-06-09,28.4
2023-06-08,24.3
2023-06-07,25.0
2023-06-06,25.8
2023-06-05,26.6
2023-06-04,28.4
2023-06-03,28.4
2023-06-02,25.7
2023-06-01,26.6
2023-07-31,34.1
2023-07-30,35.2
2023-07-29,34.3
2023-07-28,34.9
2023-07-27,34.7
2023-07-26,32.9
2023-07-25,30.6
2023-07-24,30.6
2023-07-23,26.2
2023-07-22,32.7
2023-07-21,35.2
2023-07-20,33.6
2023-07-19,33.4
2023-07-18,28.2
2023-07-17,28.3
2023-07-16,26.1
2023-07-15,26.1
2023-07-14,24.9
2023-07-13,26.9
2023-07-12,30.4
2023-07-11,26.2
2023-07-10,31.2
2023-07-09,28.2
2023-07-08,30.3
2023-07-07,31.9
2023-07-06,31.9
2023-07-05,27.7
2023-07-04,29.5
2023-07-03,34.3
2023-07-02,30.7
2023-07-01,32.9
2023-08-31,29.3
2023-08-30,26.5
2023-08-29,26.8
2023-08-28,26.4
2023-08-27,30.5
2023-08-26,31.6
2023-08-25,30.7
2023-08-24,28.4
2023-08-23,26.7
2023-08-22,32.0
2023-08-21,33.3
2023-08-20,32.3
2023-08-19,33.8
2023-08-18,34.5
2023-08-17,32.0
2023-08-16,32.1
2023-08-15,33.0
2023-08-14,34.6
2023-08-13,33.3
2023-08-12,24.7
2023-08-11,26.0
2023-08-10,25.4
2023-08-09,32.2
2023-08-08,36.4
2023-08-07,35.9
2023-08-06,34.1
2023-08-05,35.0
2023-08-04,34.9
2023-08-03,34.6
2023-08-02,34.5
2023-08-01,34.7
