날짜,최고기온
2023-03-31,23.7
2023-03-30,21.0
2023-03-29,19.7
2023-03-28,15.6
2023-03-27,13.9
2023-03-26,14.7
2023-03-25,18.3
2023-03-24,17.7
2023-03-23,23.6
2023-03-22,24.4
2023-03-21,21.1
2023-03-20,16.3
2023-03-19,15.1
2023-03-18,14.3
2023-03-17,12.9
2023-03-16,9.4
2023-03-15,14.9
2023-03-14,15.5
2023-03-13,7.4
2023-03-12,13.1
2023-03-11,22.8
2023-03-10,22.7
2023-03-09,13.9
2023-03-08,17.8
2023-03-07,18.8
2023-03-06,15.8
2023-03-05,15.4
2023-03-04,13.6
2023-03-03,10.3
2023-03-02,6.8
2023-03-01,10.0
2023-04-30,18.9
2023-04-29,15.9
2023-04-28,22.4
2023-04-27,21.2
2023-04-26,13.4
2023-04-25,13.8
2023-04-24,21.5
2023-04-23,22.7
2023-04-22,22.9
2023-04-21,23.4
2023-04-20,18.8
2023-04-19,29.0
2023-04-18,18.5
2023-04-17,18.6
2023-04-16,16.7
2023-04-15,17.2
2023-04-14,22.0
2023-04-13,18.0
2023-04-12,15.9
2023-04-11,17.8
2023-04-10,19.4
2023-04-09,17.9
2023-04-08,15.1
2023-04-07,15.9
2023-04-06,10.3
2023-04-05,15.4
2023-04-04,22.0
2023-04-03,26.1
2023-04-02,25.1
2023-04-01,25.3
2023-05-31,28.9
2023-05-30,30.7
2023-05-29,29.6
2023-05-28,20.4
2023-05-27,21.6
2023-05-26,27.6
2023-05-25,28.2
2023-05-24,26.3
2023-05-23,27.0
2023-05-22,26.7
2023-05-21,22.1
2023-05-20,27.0
2023-05-19,28.2
2023-05-18,25.9
2023-05-17,29.2
2023-05-16,31.6
2023-05-15,28.5
2023-05-14,24.0
2023-05-13,24.1
2023-05-12,25.1
2023-05-11,27.3
2023-05-10,26.5
2023-05-09,24.5
2023-05-08,22.6
2023-05-07,19.5
2023-05-06,16.1
2023-05-05,22.1
2023-05-04,26.8
2023-05-03,27.2
2023-05-02,24.7
2023-05-01,21.1
2023-06-30,30.1
2023-06-29,26.5
2023-06-28,31.2
2023-06-27,30.8
2023-06-26,28.4
2023-06-25,33.7
2023-06-24,32.1
2023-06-23,31.7
2023-06-22,27.8
2023-06-21,23.7
2023-06-20,27.3
2023-06-19,35.0
2023-06-18,33.5
2023-06-17,31.3
2023-06-16,30.3
2023-06-15,29.1
2023-06-14,26.4
2023-06-13,27.2
2023-06-12,28.6
2023-06-11,27.7
2023-06-10,29.3
2023-06-09,29.6
2023-06-08,24.9
2023-06-07,25.8
2023-06-06,25.6
2023-06-05,26.7
2023-06-04,28.8
2023-06-03,28.6
2023-06-02,26.2
2023-06-01,27.2
2023-07-31,34.9
2023-07-30,36.3
2023-07-29,35.6
2023-07-28,35.5
2023-07-27,34.4
2023-07-26,34.0
2023-07-25,32.4
2023-07-24,31.4
2023-07-23,27.1
2023-07-22,33.6
2023-07-21,35.2
2023-07-20,34.2
2023-07-19,33.9
2023-07-18,29.3
2023-07-17,29.0
2023-07-16,26.7
2023-07-15,27.1
2023-07-14,25.7
2023-07-13,27.3
2023-07-12,30.0
2023-07-11,26.7
2023-07-10,33.2
2023-07-09,28.2
2023-07-08,31.2
2023-07-07,32.7
2023-07-06,33.7
2023-07-05,28.1
2023-07-04,30.2
2023-07-03,36.4
2023-07-02,31.7
2023-07-01,34.0
2023-08-31,30.6
2023-08-30,27.1
2023-08-29,27.5
2023-08-28,27.0
2023-08-27,30.8
2023-08-26,32.2
2023-08-25,31.7
2023-08-24,29.6
2023-08-23,28.2
2023-08-22,33.1
2023-08-21,34.7
2023-08-20,34.5
2023-08-19,34.4
2023-08-18,34.1
2023-08-17,33.1
2023-08-16,33.3
2023-08-15,33.6
2023-08-14,34.3
2023-08-13,33.1
2023-08-12,25.4
2023-08-11,26.7
2023-08-10,26.0
2023-08-09,33.3
2023-08-08,37.2
2023-08-07,37.4
2023-08-06,35.2
2023-08-05,35.9
2023-08-04,36.0
2023-08-03,35.6
2023-08-02,35.1
2023-08-01,35.0
