날짜,최고기온
2023-03-31,23.9
2023-03-30,21.1
2023-03-29,19.7
2023-03-28,15.7
2023-03-27,14.0
2023-03-26,14.3
2023-03-25,17.8
2023-03-24,17.9
2023-03-23,23.2
2023-03-22,25.3
2023-03-21,22.3
2023-03-20,16.8
2023-03-19,15.3
2023-03-18,14.1
2023-03-17,12.6
2023-03-16,9.1
2023-03-15,15.4
2023-03-14,16.0
2023-03-13,7.5
2023-03-12,13.0
2023-03-11,23.3
2023-03-10,22.7
2023-03-09,13.8
2023-03-08,18.3
2023-03-07,19.2
2023-03-06,15.9
2023-03-05,15.2
2023-03-04,13.8
2023-03-03,10.5
2023-03-02,6.8
2023-03-01,9.7
2023-04-30,18.6
2023-04-29,16.1
2023-04-28,22.1
2023-04-27,20.4
2023-04-26,13.3
2023-04-25,13.4
2023-04-24,20.8
2023-04-23,22.5
2023-04-22,23.4
2023-04-21,23.6
2023-04-20,19.3
2023-04-19,29.6
2023-04-18,18.7
2023-04-17,19.0
2023-04-16,17.1
2023-04-15,17.3
2023-04-14,21.6
2023-04-13,17.9
2023-04-12,15.8
2023-04-11,18.4
2023-04-10,19.8
2023-04-09,17.9
2023-04-08,15.4
2023-04-07,15.5
2023-04-06,10.4
2023-04-05,15.0
2023-04-04,21.7
2023-04-03,26.3
2023-04-02,25.5
2023-04-01,25.9
2023-05-31,28.5
2023-05-30,29.7
2023-05-29,29.8
2023-05-28,20.7
2023-05-27,21.7
2023-05-26,27.1
2023-05-25,27.3
2023-05-24,26.2
2023-05-23,27.5
2023-05-22,26.9
2023-05-21,21.9
2023-05-20,26.8
2023-05-19,28.4
2023-05-18,26.4
2023-05-17,29.2
2023-05-16,31.6
2023-05-15,28.5
2023-05-14,24.3
2023-05-13,23.8
2023-05-12,25.0
2023-05-11,26.9
2023-05-10,27.0
2023-05-09,24.0
2023-05-08,22.1
2023-05-07,19.3
2023-05-06,16.0
2023-05-05,22.0
2023-05-04,27.0
2023-05-03,26.2
2023-05-02,24.6
2023-05-01,21.4
2023-06-30,30.6
2023-06-29,26.2
2023-06-28,30.8
2023-06-27,30.3
2023-06-26,27.9
2023-06-25,33.9
2023-06-24,32.2
2023-06-23,31.1
2023-06-22,27.6
2023-06-21,22.6
2023-06-20,26.9
2023-06-19,34.6
2023-06-18,33.6
2023-06-17,31.1
2023-06-16,29.5
2023-06-15,28.9
2023-06-14,26.4
2023-06-13,27.1
2023-06-12,27.6
2023-06-11,27.9
2023-06-10,28.7
2023-06-09,29.5
2023-06-08,24.6
2023-06-07,26.1
2023-06-06,25.6
2023-06-05,26.4
2023-06-04,28.9
2023-06-03,28.8
2023-06-02,26.3
2023-06-01,27.0
2023-07-31,34.9
2023-07-30,36.5
2023-07-29,34.2
2023-07-28,35.1
2023-07-27,33.6
2023-07-26,32.5
2023-07-25,31.5
2023-07-24,31.2
2023-07-23,26.5
2023-07-22,33.3
2023-07-21,35.6
2023-07-20,33.9
2023-07-19,34.0
2023-07-18,28.9
2023-07-17,28.2
2023-07-16,26.2
2023-07-15,26.2
2023-07-14,25.7
2023-07-13,27.3
2023-07-12,29.6
2023-07-11,26.5
2023-07-10,32.1
2023-07-09,28.0
2023-07-08,30.4
2023-07-07,32.6
2023-07-06,33.0
2023-07-05,27.4
2023-07-04,30.0
2023-07-03,36.1
2023-07-02,31.7
2023-07-01,33.6
2023-08-31,30.1
2023-08-30,25.7
2023-08-29,26.5
2023-08-28,26.5
2023-08-27,30.3
2023-08-26,31.4
2023-08-25,30.6
2023-08-24,28.7
2023-08-23,28.2
2023-08-22,32.5
2023-08-21,33.4
2023-08-20,33.1
2023-08-19,34.3
2023-08-18,34.7
2023-08-17,33.3
2023-08-16,33.3
2023-08-15,33.6
2023-08-14,34.2
2023-08-13,32.1
2023-08-12,25.3
2023-08-11,26.6
2023-08-10,25.3
2023-08-09,31.7
2023-08-08,38.3
2023-08-07,37.5
2023-08-06,34.5
2023-08-05,36.5
2023-08-04,34.7
2023-08-03,34.9
2023-08-02,34.7
2023-08-01,35.3
