날짜,최고기온
2023-03-31,22.9
2023-03-30,20.7
2023-03-29,19.5
2023-03-28,14.9
2023-03-27,13.5
2023-03-26,13.7
2023-03-25,17.2
2023-03-24,17.8
2023-03-23,23.6
2023-03-22,23.6
2023-03-21,21.1
2023-03-20,15.9
2023-03-19,14.2
2023-03-18,13.3
2023-03-17,12.4
2023-03-16,8.8
2023-03-15,13.2
2023-03-14,14.8
2023-03-13,6.4
2023-03-12,11.4
2023-03-11,21.9
2023-03-10,21.4
2023-03-09,14.3
2023-03-08,17.7
2023-03-07,18.2
2023-03-06,15.2
2023-03-05,14.5
2023-03-04,13.2
2023-03-03,8.8
2023-03-02,5.9
2023-03-01,9.3
2023-04-30,17.8
2023-04-29,15.4
2023-04-28,21.1
2023-04-27,19.8
2023-04-26,13.4
2023-04-25,12.8
2023-04-24,20.4
2023-04-23,21.9
2023-04-22,21.7
2023-04-21,22.6
2023-04-20,18.1
2023-04-19,28.2
2023-04-18,18.6
2023-04-17,17.6
2023-04-16,15.8
2023-04-15,16.6
2023-04-14,20.8
2023-04-13,17.1
2023-04-12,14.9
2023-04-11,17.0
2023-04-10,19.0
2023-04-09,17.2
2023-04-08,14.3
2023-04-07,15.1
2023-04-06,9.8
2023-04-05,15.8
2023-04-04,21.5
2023-04-03,25.0
2023-04-02,24.4
2023-04-01,24.9
2023-05-31,27.3
2023-05-30,27.6
2023-05-29,28.7
2023-05-28,20.3
2023-05-27,20.4
2023-05-26,26.1
2023-05-25,26.3
2023-05-24,25.3
2023-05-23,26.4
2023-05-22,25.4
2023-05-21,21.8
2023-05-20,25.8
2023-05-19,27.3
2023-05-18,25.8
2023-05-17,28.2
2023-05-16,30.7
2023-05-15,27.1
2023-05-14,22.8
2023-05-13,23.3
2023-05-12,24.1
2023-05-11,26.5
2023-05-10,25.6
2023-05-09,23.6
2023-05-08,22.0
2023-05-07,18.8
2023-05-06,16.5
2023-05-05,21.4
2023-05-04,25.3
2023-05-03,25.6
2023-05-02,23.9
2023-05-01,19.9
2023-06-30,29.4
2023-06-29,25.2
2023-06-28,29.4
2023-06-27,29.3
2023-06-26,27.1
2023-06-25,33.1
2023-06-24,30.8
2023-06-23,29.4
2023-06-22,26.7
2023-06-21,21.5
2023-06-20,25.9
2023-06-19,33.2
2023-06-18,31.8
2023-06-17,30.0
2023-06-16,28.5
2023-06-15,27.5
2023-06-14,25.1
2023-06-13,25.4
2023-06-12,26.8
2023-06-11,26.7
2023-06-10,27.9
2023-06-09,27.3
2023-06-08,24.4
2023-06-07,25.1
2023-06-06,24.9
2023-06-05,25.2
2023-06-04,27.5
2023-06-03,27.5
2023-06-02,24.5
2023-06-01,25.9
2023-07-31,33.3
2023-07-30,34.4
2023-07-29,33.2
2023-07-28,33.8
2023-07-27,32.4
2023-07-26,30.5
2023-07-25,30.4
2023-07-24,29.8
2023-07-23,26.3
2023-07-22,32.2
2023-07-21,33.9
2023-07-20,33.0
2023-07-19,32.3
2023-07-18,27.9
2023-07-17,27.2
2023-07-16,25.6
2023-07-15,26.7
2023-07-14,24.9
2023-07-13,27.2
2023-07-12,29.1
2023-07-11,25.7
2023-07-10,30.7
2023-07-09,28.6
2023-07-08,29.7
2023-07-07,31.6
2023-07-06,31.6
2023-07-05,27.5
2023-07-04,29.3
2023-07-03,34.4
2023-07-02,30.5
2023-07-01,32.6
2023-08-31,28.8
2023-08-30,25.6
2023-08-29,26.8
2023-08-28,26.4
2023-08-27,29.3
2023-08-26,30.8
2023-08-25,29.6
2023-08-24,28.8
2023-08-23,26.6
2023-08-22,31.8
2023-08-21,33.1
2023-08-20,31.8
2023-08-19,33.6
2023-08-18,33.1
2023-08-17,32.5
2023-08-16,31.8
2023-08-15,31.6
2023-08-14,33.0
2023-08-13,31.0
2023-08-12,24.9
2023-08-11,25.2
2023-08-10,26.4
2023-08-09,31.4
2023-08-08,34.9
2023-08-07,35.2
2023-08-06,33.9
2023-08-05,34.9
2023-08-04,34.3
2023-08-03,33.1
2023-08-02,33.5
2023-08-01,34.7
