날짜,최고기온
2023-03-31,24.4
2023-03-30,22.1
2023-03-29,20.6
2023-03-28,16.3
2023-03-27,14.8
2023-03-26,15.2
2023-03-25,18.8
2023-03-24,18.8
2023-03-23,23.8
2023-03-22,25.3
2023-03-21,22.2
2023-03-20,17.3
2023-03-19,15.7
2023-03-18,14.6
2023-03-17,13.3
2023-03-16,10.2
2023-03-15,16.7
2023-03-14,15.8
2023-03-13,8.2
2023-03-12,12.6
2023-03-11,24.0
2023-03-10,23.2
2023-03-09,14.8
2023-03-08,19.5
2023-03-07,19.8
2023-03-06,17.2
2023-03-05,15.6
2023-03-04,14.0
2023-03-03,11.4
2023-03-02,7.0
2023-03-01,10.2
날짜,최고기온
2023-04-30,19.6
2023-04-29,16.0
2023-04-28,22.4
2023-04-27,21.9
2023-04-26,14.3
2023-04-25,13.8
2023-04-24,21.2
2023-04-23,22.6
2023-04-22,22.7
2023-04-21,23.9
2023-04-20,19.2
2023-04-19,28.7
2023-04-18,18.0
2023-04-17,19.5
2023-04-16,17.2
2023-04-15,18.0
2023-04-14,23.7
2023-04-13,18.5
2023-04-12,16.2
2023-04-11,19.1
2023-04-10,19.8
2023-04-09,18.7
2023-04-08,15.7
2023-04-07,16.3
2023-04-06,11.2
2023-04-05,15.5
2023-04-04,22.9
2023-04-03,25.7
2023-04-02,25.5
2023-04-01,26.5
날짜,최고기온
2023-05-31,28.4
2023-05-30,29.6
2023-05-29,29.0
2023-05-28,20.9
2023-05-27,21.4
2023-05-26,27.6
2023-05-25,27.9
2023-05-24,26.0
2023-05-23,27.5
2023-05-22,26.6
2023-05-21,22.9
2023-05-20,27.4
2023-05-19,28.0
2023-05-18,27.7
2023-05-17,29.7
2023-05-16,32.2
2023-05-15,28.9
2023-05-14,24.6
2023-05-13,25.2
2023-05-12,26.1
2023-05-11,27.6
2023-05-10,27.4
2023-05-09,25.0
2023-05-08,23.6
2023-05-07,18.5
2023-05-06,15.7
2023-05-05,21.7
2023-05-04,27.1
2023-05-03,26.9
2023-05-02,24.8
2023-05-01,21.6
날짜,최고기온
2023-06-30,30.6
2023-06-29,26.1
2023-06-28,31.1
2023-06-27,30.7
2023-06-26,27.7
2023-06-25,33.9
2023-06-24,32.8
2023-06-23,31.3
2023-06-22,27.8
2023-06-21,22.5
2023-06-20,26.9
2023-06-19,34.9
2023-06-18,34.3
2023-06-17,32.1
2023-06-16,30.9
2023-06-15,28.4
2023-06-14,27.8
2023-06-13,28.4
2023-06-12,27.9
2023-06-11,29.1
2023-06-10,29.6
2023-06-09,29.8
2023-06-08,25.2
2023-06-07,25.8
2023-06-06,26.5
2023-06-05,26.7
2023-06-04,28.7
2023-06-03,28.8
2023-06-02,26.1
2023-06-01,27.1
날짜,최고기온
2023-07-31,35.6
2023-07-30,37.0
2023-07-29,35.7
2023-07-28,36.0
2023-07-27,34.8
2023-07-26,32.3
2023-07-25,32.4
2023-07-24,32.2
2023-07-23,26.5
2023-07-22,34.1
2023-07-21,36.5
2023-07-20,34.7
2023-07-19,34.1
2023-07-18,28.4
2023-07-17,29.4
2023-07-16,26.5
2023-07-15,26.8
2023-07-14,25.9
2023-07-13,27.1
2023-07-12,30.8
2023-07-11,26.4
2023-07-10,32.2
2023-07-09,29.1
2023-07-08,30.8
2023-07-07,32.2
2023-07-06,33.0
2023-07-05,28.3
2023-07-04,30.4
2023-07-03,35.6
2023-07-02,31.8
2023-07-01,34.1
날짜,최고기온
2023-08-31,29.8
2023-08-30,26.3
2023-08-29,27.0
2023-08-28,26.0
2023-08-27,30.1
2023-08-26,32.2
2023-08-25,31.0
2023-08-24,28.3
2023-08-23,29.6
2023-08-22,33.5
2023-08-21,34.6
2023-08-20,34.1
2023-08-19,35.4
2023-08-18,35.7
2023-08-17,34.3
2023-08-16,33.7
2023-08-15,33.9
2023-08-14,34.5
2023-08-13,32.4
2023-08-12,25.3
2023-08-11,27.2
2023-08-10,25.1
2023-08-09,32.0
2023-08-08,36.8
2023-08-07,37.3
2023-08-06,35.5
2023-08-05,36.7
2023-08-04,35.8
2023-08-03,35.3
2023-08-02,35.1
2023-08-01,36.3
